ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes
1786120628.255,c1,recommend,6000,0.293,26.47,13.73,3.48,S3,0,,0,200.0,obs,688,26.47,13.73,3.71,S3,26.47,13.73,3.71,S3,26.47,13.73,3.48,S3,4.798,0
1786120628.255,c2,reserve,,0.0,26.34,13.67,3.59,S3,0,,0,36.0,obs,340,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.59,S3,4.798,0
1786120628.255,c2,search,,0.0,31.1,20.71,10.76,S3,0,,0,4474.0,obs,512,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.76,S3,4.798,0
1786120628.255,c2,recommend,,0.0,26.76,14.03,3.77,S3,0,,0,200.0,obs,688,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.77,S3,4.798,0
1786120629.255,c1,reserve,6000,0.053,26.29,13.62,3.48,S3,0,,0,36.0,obs,340,26.29,13.62,3.6,S3,26.29,13.62,3.6,S3,26.29,13.62,3.48,S3,4.876,0
1786120629.255,c1,search,6000,6.562,24.54,14.15,4.36,S3,0,,0,4474.0,obs,513,24.54,14.15,4.42,S3,24.54,14.15,4.42,S3,24.54,14.15,4.36,S3,4.876,0
1786120629.255,c1,recommend,6000,0.293,26.47,13.73,3.66,S3,0,,0,200.0,obs,687,26.47,13.73,3.71,S3,26.47,13.73,3.71,S3,26.47,13.73,3.66,S3,4.876,0
1786120629.255,c2,reserve,,0.0,26.34,13.67,3.53,S3,0,,0,36.0,obs,340,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.53,S3,4.876,0
1786120629.255,c2,search,,0.0,31.1,20.71,10.92,S3,0,,0,4474.0,obs,513,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.92,S3,4.876,0
1786120629.255,c2,recommend,,0.0,26.76,14.03,3.96,S3,0,,0,200.0,obs,687,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.96,S3,4.876,0
1786120630.255,c1,reserve,6000,0.053,26.29,13.62,3.51,S3,0,,0,36.0,obs,342,26.29,13.62,3.6,S3,26.29,13.62,3.6,S3,26.29,13.62,3.51,S3,4.824,0
1786120630.255,c1,search,6000,6.562,24.54,14.15,4.33,S3,0,,0,4474.0,obs,516,24.54,14.15,4.42,S3,24.54,14.15,4.42,S3,24.54,14.15,4.33,S3,4.824,0
1786120630.255,c1,recommend,6000,0.293,26.47,13.73,3.66,S3,0,,0,200.0,obs,682,26.47,13.73,3.71,S3,26.47,13.73,3.71,S3,26.47,13.73,3.66,S3,4.824,0
1786120630.255,c2,reserve,,0.0,26.34,13.67,3.57,S3,0,,0,36.0,obs,342,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.57,S3,4.824,0
1786120630.255,c2,search,,0.0,31.1,20.71,10.89,S3,0,,0,4474.0,obs,516,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.89,S3,4.824,0
1786120630.255,c2,recommend,,0.0,26.76,14.03,3.95,S3,0,,0,200.0,obs,682,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.95,S3,4.824,0
1786120631.255,c1,reserve,6000,0.053,26.29,13.62,3.57,S3,0,,0,36.0,obs,347,26.29,13.62,3.6,S3,26.29,13.62,3.6,S3,26.29,13.62,3.57,S3,4.772,0
1786120631.255,c1,search,6000,6.562,24.54,14.15,4.37,S3,0,,0,4474.0,obs,511,24.54,14.15,4.42,S3,24.54,14.15,4.42,S3,24.54,14.15,4.37,S3,4.772,0
1786120631.255,c1,recommend,6000,0.293,26.47,13.73,3.66,S3,0,,0,200.0,obs,683,26.47,13.73,3.71,S3,26.47,13.73,3.71,S3,26.47,13.73,3.66,S3,4.772,0
1786120631.255,c2,reserve,,0.0,26.34,13.67,3.62,S3,0,,0,36.0,obs,347,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.62,S3,4.772,0
