run_id,policy,t_rel_s,n_c1_search,c1_search_viol_pct,c1_search_viol_pct_roll3,rate_kbit
B_ramp_site_s3,site_s3,162,133,6.015,4.0101,3273
B_ramp_site_s3,site_s3,163,132,3.0303,5.0201,3273
B_ramp_site_s3,site_s3,164,133,6.015,4.2497,3273
B_ramp_site_s3,site_s3,165,135,3.7037,3.9915,3273
B_ramp_site_s3,site_s3,166,133,2.2556,3.2302,3273
B_ramp_site_s3,site_s3,167,134,3.7313,3.0058,3273
B_ramp_site_s3,site_s3,168,132,3.0303,3.9952,3273
B_ramp_site_s3,site_s3,169,134,5.2239,10.1305,3273
B_ramp_site_s3,site_s3,170,131,22.1374,42.4538,3273
B_ramp_site_s3,site_s3,171,133,100.0,74.0458,1600
B_ramp_site_s3,site_s3,172,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,173,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,174,135,100.0,100.0,1600
B_ramp_site_s3,site_s3,175,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,176,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,177,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,178,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,179,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,180,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,181,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,182,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,183,137,100.0,100.0,1600
B_ramp_site_s3,site_s3,184,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,185,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,186,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,187,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,188,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,189,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,190,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,191,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,192,136,100.0,100.0,1600
B_ramp_site_s3,site_s3,193,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,194,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,195,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,196,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,197,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,198,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,199,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,200,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,201,136,100.0,100.0,1600
