run_id,policy,t_rel_s,c1_search_viol_pct,n_c1_search,all_viol_pct,S1_pct,S2_pct,S3_pct
A_server_site_s3,site_s3,108,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,109,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,110,0.0,132,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,111,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,112,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,113,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,114,0.0,132,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,115,0.0,134,0.1248,0.0,0.0,100.0
A_server_site_s3,site_s3,116,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,117,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,118,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,119,0.0,132,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,120,2.9851,134,3.3792,0.0,0.0,100.0
A_server_site_s3,site_s3,121,6.015,133,3.0038,0.0,0.0,100.0
A_server_site_s3,site_s3,122,8.2707,133,5.5138,0.0,0.0,100.0
A_server_site_s3,site_s3,123,11.2782,133,7.3474,0.0,0.0,100.0
A_server_site_s3,site_s3,124,7.5188,133,4.8872,0.0,0.0,100.0
A_server_site_s3,site_s3,125,8.8889,135,6.2422,0.0,0.0,100.0
A_server_site_s3,site_s3,126,6.8182,132,4.1457,0.0,0.0,100.0
A_server_site_s3,site_s3,127,5.9259,135,3.9851,0.0,0.0,100.0
A_server_site_s3,site_s3,128,5.3435,131,3.5,0.0,0.0,100.0
A_server_site_s3,site_s3,129,19.403,134,15.8552,0.0,0.0,100.0
A_server_site_s3,site_s3,130,2.9851,134,2.6316,0.0,0.0,100.0
A_server_site_s3,site_s3,131,4.5113,133,2.625,0.0,0.0,100.0
A_server_site_s3,site_s3,132,3.7594,133,2.625,0.0,0.0,100.0
A_server_site_s3,site_s3,133,8.2707,133,5.2434,0.0,0.0,100.0
A_server_site_s3,site_s3,134,5.9701,134,2.8786,0.0,0.0,100.0
A_server_site_s3,site_s3,135,5.9701,134,4.9938,0.0,0.0,100.0
A_server_site_s3,site_s3,136,3.0075,133,2.375,0.0,0.0,100.0
A_server_site_s3,site_s3,137,6.0606,132,3.0,0.0,0.0,100.0
A_server_site_s3,site_s3,138,11.194,134,6.5,0.0,0.0,100.0
A_server_site_s3,site_s3,139,4.4776,134,2.6185,0.0,0.0,100.0
A_server_site_s3,site_s3,140,3.7879,132,3.7831,0.0,0.0,100.0
A_server_site_s3,site_s3,141,4.4776,134,2.1066,0.0,0.0,100.0
A_server_site_s3,site_s3,142,11.9403,134,7.6155,0.0,0.0,100.0
A_server_site_s3,site_s3,143,4.4776,134,4.25,0.0,0.0,100.0
A_server_site_s3,site_s3,144,6.015,133,6.7584,0.0,0.0,100.0
A_server_site_s3,site_s3,145,5.3435,131,4.9118,0.0,0.0,100.0
A_server_site_s3,site_s3,146,7.4627,134,5.985,0.0,0.0,100.0
A_server_site_s3,site_s3,147,5.9259,135,3.8557,0.0,0.0,100.0
A_server_site_s3,site_s3,148,1.5038,133,2.5063,0.0,0.0,100.0
