t_sec,fc_s1_ms,fc_s1_ms_dnet,fc_s2_ms,fc_s2_ms_dnet,fc_s3_ms,fc_s3_ms_dnet,lat_search_ms,lat_reserve_ms,lat_recommend_ms,slo_search,slo_reserve,slo_recommend,share_s1_pct,share_s2_pct,share_s3_pct,n_search,phase
79,,,7.8,7.64,3.94,3.79,26.61,17.95,17.42,45.0,35.0,35.0,0.0,59.4,40.6,266,pre
80,,,7.26,7.1,3.98,3.83,26.67,17.45,17.63,45.0,35.0,35.0,0.0,62.59,37.41,270,pre
81,,,6.44,6.28,4.11,3.96,26.7,17.27,17.67,45.0,35.0,35.0,0.0,59.4,40.6,266,pre
82,,,6.71,6.55,3.86,3.71,26.72,17.31,17.68,45.0,35.0,35.0,0.0,62.17,37.83,267,pre
83,,,6.58,6.42,3.71,3.56,26.74,17.33,17.23,45.0,35.0,35.0,0.0,59.47,40.53,264,pre
84,,,7.2,7.05,3.91,3.75,27.59,17.38,17.48,45.0,35.0,35.0,0.0,55.6,44.4,268,pre
85,,,7.02,6.86,4.03,3.88,27.7,17.38,17.3,45.0,35.0,35.0,0.0,53.93,46.07,267,pre
86,,,7.72,7.57,3.86,3.71,26.73,17.27,17.78,45.0,35.0,35.0,0.0,58.21,41.79,268,pre
87,,,6.57,6.42,3.94,3.79,27.03,17.23,17.52,45.0,35.0,35.0,0.0,58.17,41.83,263,pre
88,,,6.53,6.37,3.85,3.7,28.18,17.0,17.11,45.0,35.0,35.0,0.0,51.13,48.87,266,pre
89,,,8.15,7.99,4.12,3.97,26.71,17.46,18.35,45.0,35.0,35.0,0.0,63.33,36.67,270,pre
90,,,7.16,7.01,3.84,3.68,27.35,17.25,17.41,45.0,35.0,35.0,0.0,55.22,44.78,268,pre
91,,,7.59,7.43,3.67,3.52,26.65,17.52,17.59,45.0,35.0,35.0,0.0,59.25,40.75,265,pre
92,,,6.98,6.82,3.97,3.82,26.2,17.37,17.74,45.0,35.0,35.0,0.0,63.77,36.23,265,pre
93,,,7.08,6.93,3.67,3.52,26.76,17.31,17.52,45.0,35.0,35.0,0.0,58.96,41.04,268,pre
94,,,7.01,6.86,3.79,3.64,26.28,17.39,18.11,45.0,35.0,35.0,0.0,64.04,35.96,267,pre
95,,,7.34,7.18,3.72,3.57,26.74,17.39,17.28,45.0,35.0,35.0,0.0,57.3,42.7,267,pre
96,,,7.73,7.57,3.83,3.68,28.28,17.38,17.63,45.0,35.0,35.0,0.0,53.21,46.79,265,pre
97,,,6.91,6.76,3.83,3.68,26.5,17.35,17.59,45.0,35.0,35.0,0.0,60.3,39.7,267,pre
98,,,6.69,6.53,4.11,3.95,26.53,16.96,17.96,45.0,35.0,35.0,0.0,59.7,40.3,268,pre
99,,,7.16,7.0,3.9,3.75,27.24,17.01,17.39,45.0,35.0,35.0,0.0,56.98,43.02,265,pre
100,,,6.84,6.68,3.92,3.77,27.0,17.09,17.53,45.0,35.0,35.0,0.0,57.41,42.59,270,pre
101,,,7.16,7.01,3.95,3.79,26.5,18.4,17.39,45.0,35.0,35.0,0.0,60.61,39.39,264,pre
102,,,6.17,6.02,4.09,3.94,27.0,16.95,17.73,45.0,35.0,35.0,0.0,55.02,44.98,269,pre
103,,,7.54,7.39,3.94,3.78,27.44,16.89,17.28,45.0,35.0,35.0,0.0,56.23,43.77,265,pre
104,,,6.33,6.17,4.0,3.85,26.61,17.31,17.55,45.0,35.0,35.0,0.0,58.87,41.13,265,pre
105,,,7.63,7.48,4.03,3.88,26.62,17.26,17.94,45.0,35.0,35.0,0.0,61.94,38.06,268,pre
106,,,7.27,7.12,3.9,3.75,26.33,17.95,17.99,45.0,35.0,35.0,0.0,62.03,37.97,266,pre
107,,,7.23,7.08,3.86,3.7,27.51,17.16,17.29,45.0,35.0,35.0,0.0,55.02,44.98,269,pre
108,,,6.57,6.41,3.79,3.64,27.32,17.5,17.33,45.0,35.0,35.0,0.0,54.72,45.28,265,pre
109,,,6.62,6.47,3.77,3.62,26.8,17.44,17.55,45.0,35.0,35.0,0.0,60.45,39.55,268,pre
110,,,6.57,6.41,3.93,3.77,26.84,16.98,17.38,45.0,35.0,35.0,0.0,57.79,42.21,263,pre
111,,,6.92,6.77,4.09,3.94,26.48,17.28,17.58,45.0,35.0,35.0,0.0,60.0,40.0,270,pre
112,,,6.6,6.45,4.05,3.9,26.68,17.15,17.38,45.0,35.0,35.0,0.0,57.3,42.7,267,pre
113,,,6.46,6.31,3.95,3.8,27.34,17.1,17.29,45.0,35.0,35.0,0.0,54.14,45.86,266,pre
114,,,6.67,6.52,4.26,4.11,26.68,17.04,17.54,45.0,35.0,35.0,0.0,58.11,41.89,265,pre
115,,,6.0,5.85,3.95,3.8,26.9,17.09,17.24,45.0,35.0,35.0,0.0,56.39,43.61,266,pre
116,,,8.25,8.09,3.82,3.67,27.73,17.48,17.4,45.0,35.0,35.0,0.0,55.93,44.07,270,pre
117,,,6.7,6.55,3.69,3.53,26.97,17.17,17.7,45.0,35.0,35.0,0.0,56.55,43.45,267,pre
118,,,6.97,6.82,3.86,3.71,27.1,17.17,17.3,45.0,35.0,35.0,0.0,55.06,44.94,267,pre
119,,,6.7,6.55,3.89,3.74,27.01,17.64,17.15,45.0,35.0,35.0,0.0,55.89,44.11,263,transition
120,,,6.87,6.72,8.48,8.33,26.88,17.28,17.63,45.0,35.0,35.0,0.0,58.74,41.26,269,transition
121,,,7.85,7.7,5.55,5.4,26.8,17.42,17.69,45.0,35.0,35.0,0.0,59.55,40.45,267,transition
122,,,7.03,6.87,6.49,6.34,26.35,17.47,17.68,45.0,35.0,35.0,0.0,63.53,36.47,266,transition
123,,,6.75,6.6,6.5,6.34,26.98,17.36,17.24,45.0,35.0,35.0,0.0,57.58,42.42,264,stress
124,,,7.7,7.54,5.92,5.77,26.72,17.0,17.29,45.0,35.0,35.0,0.0,57.46,42.54,268,stress
125,,,7.24,7.08,9.79,9.64,26.87,17.28,17.63,45.0,35.0,35.0,0.0,60.45,39.55,268,stress
126,,,7.12,6.96,6.92,6.76,26.92,26.11,17.36,45.0,35.0,35.0,0.0,59.7,40.3,268,stress
127,,,8.11,7.96,6.16,6.0,27.01,17.09,17.7,45.0,35.0,35.0,0.0,57.36,42.64,265,stress
128,,,6.87,6.71,6.16,6.01,26.94,17.44,17.51,45.0,35.0,35.0,0.0,58.11,41.89,265,stress
129,,,7.41,7.25,6.61,6.46,27.35,17.16,17.38,45.0,35.0,35.0,0.0,56.3,43.7,270,stress
130,,,7.16,7.01,6.56,6.41,27.21,17.35,17.34,45.0,35.0,35.0,0.0,57.95,42.05,264,stress
131,,,7.16,7.0,7.03,6.88,27.46,16.98,17.14,45.0,35.0,35.0,0.0,53.16,46.84,269,stress
132,,,7.55,7.4,6.83,6.68,27.33,16.91,17.68,45.0,35.0,35.0,0.0,56.44,43.56,264,stress
133,,,7.15,7.0,6.47,6.32,26.92,17.15,17.85,45.0,35.0,35.0,0.0,58.27,41.73,266,stress
134,,,7.93,7.78,10.02,9.87,26.89,18.83,17.32,45.0,35.0,35.0,0.0,59.78,40.22,271,stress
135,,,7.22,7.06,5.64,5.49,26.9,17.03,17.65,45.0,35.0,35.0,0.0,59.09,40.91,264,stress
136,,,7.11,6.96,6.02,5.87,26.87,17.33,17.43,45.0,35.0,35.0,0.0,57.25,42.75,269,stress
137,,,6.78,6.62,7.59,7.44,27.25,17.11,17.17,45.0,35.0,35.0,0.0,55.56,44.44,261,stress
138,,,7.25,7.1,8.49,8.34,27.51,17.25,17.58,45.0,35.0,35.0,0.0,58.09,41.91,272,stress
139,,,6.64,6.48,8.07,7.91,26.67,17.98,17.21,45.0,35.0,35.0,0.0,58.87,41.13,265,stress
140,,,7.08,6.93,6.52,6.37,26.78,17.06,17.61,45.0,35.0,35.0,0.0,58.8,41.2,267,stress
141,,,8.1,7.95,7.14,6.99,26.88,17.31,17.22,45.0,35.0,35.0,0.0,56.27,43.73,263,stress
142,,,6.65,6.5,7.25,7.1,26.47,17.28,17.53,45.0,35.0,35.0,0.0,61.71,38.29,269,stress
143,,,7.53,7.38,7.25,7.09,26.63,18.45,17.55,45.0,35.0,35.0,0.0,62.45,37.55,269,stress
144,,,6.39,6.23,7.72,7.56,26.88,16.92,17.35,45.0,35.0,35.0,0.0,55.64,44.36,266,stress
145,,,7.87,7.72,6.17,6.02,27.68,17.09,17.17,45.0,35.0,35.0,0.0,53.38,46.62,266,stress
146,,,7.46,7.31,6.72,6.57,28.48,16.98,17.5,45.0,35.0,35.0,0.0,53.21,46.79,265,stress
147,,,7.5,7.35,8.08,7.93,26.59,17.81,17.7,45.0,35.0,35.0,0.0,63.2,36.8,269,stress
148,,,6.65,6.49,6.96,6.81,27.1,17.26,17.5,45.0,35.0,35.0,0.0,57.68,42.32,267,stress
149,,,6.27,6.12,6.59,6.44,26.71,17.22,17.35,45.0,35.0,35.0,0.0,58.43,41.57,267,stress
150,,,6.21,6.05,7.94,7.78,26.85,17.08,17.42,45.0,35.0,35.0,0.0,58.33,41.67,264,stress
151,,,7.16,7.0,6.63,6.48,26.94,17.68,17.48,45.0,35.0,35.0,0.0,56.02,43.98,266,stress
152,,,6.99,6.84,6.77,6.62,26.71,17.67,17.47,45.0,35.0,35.0,0.0,59.63,40.37,270,stress
153,,,7.5,7.34,6.7,6.54,26.73,17.22,18.02,45.0,35.0,35.0,0.0,60.0,40.0,265,stress
154,,,6.4,6.24,6.01,5.85,26.93,17.32,17.36,45.0,35.0,35.0,0.0,58.21,41.79,268,stress
155,,,7.2,7.04,6.8,6.65,27.19,17.29,17.25,45.0,35.0,35.0,0.0,57.36,42.64,265,stress
156,,,11.16,11.01,6.31,6.15,27.1,17.23,17.9,45.0,35.0,35.0,0.0,56.18,43.82,267,stress
157,,,6.79,6.64,6.43,6.27,26.84,16.94,17.91,45.0,35.0,35.0,0.0,59.02,40.98,266,stress
158,,,6.82,6.67,6.02,5.87,27.09,17.21,17.37,45.0,35.0,35.0,0.0,55.97,44.03,268,stress
159,,,8.2,8.04,7.57,7.42,27.38,17.65,17.8,45.0,35.0,35.0,0.0,58.87,41.13,265,stress
160,,,6.99,6.83,6.3,6.15,26.8,17.48,17.27,45.0,35.0,35.0,0.0,58.27,41.73,266,stress
161,,,6.93,6.78,6.83,6.67,26.95,17.18,17.31,45.0,35.0,35.0,0.0,56.88,43.12,269,stress
162,,,6.95,6.8,6.02,5.87,26.35,17.5,17.57,45.0,35.0,35.0,0.0,62.17,37.83,267,stress
163,,,6.69,6.53,5.76,5.61,26.75,17.32,17.37,45.0,35.0,35.0,0.0,58.65,41.35,266,stress
164,,,6.66,6.51,8.99,8.84,26.74,17.17,17.55,45.0,35.0,35.0,0.0,59.62,40.38,265,stress
165,,,7.79,7.64,6.5,6.34,27.12,17.03,17.71,45.0,35.0,35.0,0.0,58.58,41.42,268,stress
166,,,7.64,7.49,6.56,6.4,27.15,17.42,17.37,45.0,35.0,35.0,0.0,57.68,42.32,267,stress
167,,,6.98,6.83,6.0,5.85,26.57,17.2,17.58,45.0,35.0,35.0,0.0,61.42,38.58,267,stress
168,,,6.77,6.62,7.54,7.38,26.75,17.15,17.27,45.0,35.0,35.0,0.0,58.33,41.67,264,stress
169,,,6.88,6.73,6.49,6.33,26.64,17.28,17.88,45.0,35.0,35.0,0.0,61.94,38.06,268,stress
170,,,6.93,6.77,6.95,6.8,27.07,17.06,17.52,45.0,35.0,35.0,0.0,55.76,44.24,269,stress
171,,,6.73,6.58,8.19,8.04,27.24,17.21,17.19,45.0,35.0,35.0,0.0,56.06,43.94,264,stress
172,,,6.91,6.75,6.87,6.72,26.65,17.41,17.66,45.0,35.0,35.0,0.0,59.63,40.37,270,stress
173,,,6.33,6.18,8.43,8.28,27.13,17.03,17.29,45.0,35.0,35.0,0.0,55.13,44.87,263,stress
174,,,6.51,6.35,6.58,6.43,26.62,16.94,17.52,45.0,35.0,35.0,0.0,58.96,41.04,268,stress
175,,,7.36,7.21,6.34,6.18,26.96,17.2,17.24,45.0,35.0,35.0,0.0,56.55,43.45,267,stress
176,,,7.14,6.99,5.93,5.78,27.12,17.26,17.73,45.0,35.0,35.0,0.0,57.52,42.48,266,stress
177,,,6.4,6.24,8.15,7.99,27.0,16.92,17.71,45.0,35.0,35.0,0.0,57.36,42.64,265,stress
178,,,8.0,7.85,6.62,6.47,26.89,17.6,17.32,45.0,35.0,35.0,0.0,60.53,39.47,266,stress
179,,,7.23,7.07,6.82,6.66,26.7,17.32,18.94,45.0,35.0,35.0,0.0,62.73,37.27,271,stress
