ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes,feasible_set,subset_cluster,feasible_set_const,feasible_set_bytesonly,feasible_set_fconly
1786343238.041,c1,recommend,,0.0,26.76,8.75,3.93,,0,,0,200.0,obs,1181,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,8.75,3.93,,10.041,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343238.041,c2,reserve,,0.0,26.34,7.8,3.66,,0,,0,36.0,obs,587,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,7.8,3.66,,10.041,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343238.041,c2,search,,0.0,31.1,8.0,10.62,,0,,0,4474.0,obs,884,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,8.0,10.62,,10.041,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343238.041,c2,recommend,,0.0,26.76,8.75,3.93,,0,,0,200.0,obs,1181,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,8.75,3.93,,10.041,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343239.041,c1,reserve,,0.0,26.34,7.29,3.64,,0,,0,36.0,obs,596,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,7.29,3.64,,10.242,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343239.041,c1,search,,0.0,31.1,7.59,10.79,,0,,0,4474.0,obs,882,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,7.59,10.79,,10.242,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343239.041,c1,recommend,,0.0,26.76,8.68,3.94,,0,,0,200.0,obs,1176,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,8.68,3.94,,10.242,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343239.041,c2,reserve,,0.0,26.34,7.29,3.64,,0,,0,36.0,obs,596,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,7.29,3.64,,10.242,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343239.041,c2,search,,0.0,31.1,7.59,10.79,,0,,0,4474.0,obs,882,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,7.59,10.79,,10.242,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343239.041,c2,recommend,,0.0,26.76,8.68,3.94,,0,,0,200.0,obs,1176,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,8.68,3.94,,10.242,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343240.040,c1,reserve,,0.0,26.34,7.24,3.64,,0,,0,36.0,obs,586,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,7.24,3.64,,9.308,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343240.040,c1,search,,0.0,31.1,7.07,10.8,,0,,0,4474.0,obs,883,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,7.07,10.8,,9.308,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343240.040,c1,recommend,,0.0,26.76,8.85,3.93,,0,,0,200.0,obs,1182,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,8.85,3.93,,9.308,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343240.040,c2,reserve,,0.0,26.34,7.24,3.64,,0,,0,36.0,obs,586,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,7.24,3.64,,9.308,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343240.040,c2,search,,0.0,31.1,7.07,10.8,,0,,0,4474.0,obs,883,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,7.07,10.8,,9.308,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343240.040,c2,recommend,,0.0,26.76,8.85,3.93,,0,,0,200.0,obs,1182,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,8.85,3.93,,9.308,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343241.041,c1,reserve,,0.0,26.34,7.99,3.37,,0,,0,36.0,obs,593,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,7.99,3.37,,9.542,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343241.041,c1,search,,0.0,31.1,7.96,10.93,,0,,0,4474.0,obs,881,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,7.96,10.93,,9.542,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343241.041,c1,recommend,,0.0,26.76,9.5,4.02,,0,,0,200.0,obs,1181,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,9.5,4.02,,9.542,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343241.041,c2,reserve,,0.0,26.34,7.99,3.37,,0,,0,36.0,obs,593,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,7.99,3.37,,9.542,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343241.041,c2,search,,0.0,31.1,7.96,10.93,,0,,0,4474.0,obs,881,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,7.96,10.93,,9.542,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343241.041,c2,recommend,,0.0,26.76,9.5,4.02,,0,,0,200.0,obs,1181,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,9.5,4.02,,9.542,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343242.041,c1,reserve,,0.0,26.34,7.98,3.38,,0,,0,36.0,obs,589,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,7.98,3.38,,9.412,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343242.041,c1,search,,0.0,31.1,8.42,10.86,,0,,0,4474.0,obs,884,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,8.42,10.86,,9.412,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343242.041,c1,recommend,,0.0,26.76,9.13,4.07,,0,,0,200.0,obs,1180,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,9.13,4.07,,9.412,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343242.041,c2,reserve,,0.0,26.34,7.98,3.38,,0,,0,36.0,obs,589,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,7.98,3.38,,9.412,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786343242.041,c2,search,,0.0,31.1,8.42,10.86,,0,,0,4474.0,obs,884,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,8.42,10.86,,9.412,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
