ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes,feasible_set,subset_cluster,feasible_set_const,feasible_set_bytesonly,feasible_set_fconly
1786297342.178,c2,search,,0.0,31.1,17.93,11.27,,0,,0,4474.0,obs,503,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,17.93,11.27,,5.359,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297342.178,c2,recommend,,0.0,26.76,12.79,4.03,,0,,0,200.0,obs,674,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,12.79,4.03,,5.359,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297343.179,c1,reserve,,0.0,26.34,12.26,3.84,,0,,0,36.0,obs,334,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,12.26,3.84,,5.33,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297343.179,c1,search,,0.0,31.1,18.5,11.27,,0,,0,4474.0,obs,502,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,18.5,11.27,,5.33,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297343.179,c1,recommend,,0.0,26.76,12.85,3.94,,0,,0,200.0,obs,674,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,12.85,3.94,,5.33,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297343.179,c2,reserve,,0.0,26.34,12.26,3.84,,0,,0,36.0,obs,334,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,12.26,3.84,,5.33,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297343.179,c2,search,,0.0,31.1,18.5,11.27,,0,,0,4474.0,obs,502,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,18.5,11.27,,5.33,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297343.179,c2,recommend,,0.0,26.76,12.85,3.94,,0,,0,200.0,obs,674,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,12.85,3.94,,5.33,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297344.178,c1,reserve,,0.0,26.34,11.96,3.94,,0,,0,36.0,obs,338,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,11.96,3.94,,5.354,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297344.178,c1,search,,0.0,31.1,18.47,11.27,,0,,0,4474.0,obs,507,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,18.47,11.27,,5.354,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297344.178,c1,recommend,,0.0,26.76,13.07,4.17,,0,,0,200.0,obs,670,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,13.07,4.17,,5.354,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297344.178,c2,reserve,,0.0,26.34,11.96,3.94,,0,,0,36.0,obs,338,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,11.96,3.94,,5.354,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297344.178,c2,search,,0.0,31.1,18.47,11.27,,0,,0,4474.0,obs,507,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,18.47,11.27,,5.354,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297344.178,c2,recommend,,0.0,26.76,13.07,4.17,,0,,0,200.0,obs,670,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,13.07,4.17,,5.354,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297345.179,c1,reserve,,0.0,26.34,11.59,3.9,,0,,0,36.0,obs,339,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,11.59,3.9,,5.396,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297345.179,c1,search,,0.0,31.1,18.32,11.38,,0,,0,4474.0,obs,502,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,18.32,11.38,,5.396,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297345.179,c1,recommend,,0.0,26.76,13.12,4.18,,0,,0,200.0,obs,672,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,13.12,4.18,,5.396,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297345.179,c2,reserve,,0.0,26.34,11.59,3.9,,0,,0,36.0,obs,339,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,11.59,3.9,,5.396,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297345.179,c2,search,,0.0,31.1,18.32,11.38,,0,,0,4474.0,obs,502,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,18.32,11.38,,5.396,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297345.179,c2,recommend,,0.0,26.76,13.12,4.18,,0,,0,200.0,obs,672,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,13.12,4.18,,5.396,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297346.179,c1,reserve,,0.0,26.34,12.42,3.82,,0,,0,36.0,obs,336,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,12.42,3.82,,5.379,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297346.179,c1,search,,0.0,31.1,17.39,11.22,,0,,0,4474.0,obs,505,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,17.39,11.22,,5.379,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297346.179,c1,recommend,,0.0,26.76,12.97,4.09,,0,,0,200.0,obs,673,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,12.97,4.09,,5.379,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297346.179,c2,reserve,,0.0,26.34,12.42,3.82,,0,,0,36.0,obs,336,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,12.42,3.82,,5.379,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297346.179,c2,search,,0.0,31.1,17.39,11.22,,0,,0,4474.0,obs,505,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,17.39,11.22,,5.379,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297346.179,c2,recommend,,0.0,26.76,12.97,4.09,,0,,0,200.0,obs,673,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,12.97,4.09,,5.379,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297347.179,c1,reserve,,0.0,26.34,12.29,3.55,,0,,0,36.0,obs,336,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,12.29,3.55,,5.464,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297347.179,c1,search,,0.0,31.1,17.89,11.27,,0,,0,4474.0,obs,504,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,17.89,11.27,,5.464,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297347.179,c1,recommend,,0.0,26.76,12.9,4.07,,0,,0,200.0,obs,677,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,12.9,4.07,,5.464,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297347.179,c2,reserve,,0.0,26.34,12.29,3.55,,0,,0,36.0,obs,336,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,12.29,3.55,,5.464,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297347.179,c2,search,,0.0,31.1,17.89,11.27,,0,,0,4474.0,obs,504,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,17.89,11.27,,5.464,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297347.179,c2,recommend,,0.0,26.76,12.9,4.07,,0,,0,200.0,obs,677,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,12.9,4.07,,5.464,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297348.179,c1,reserve,,0.0,26.34,12.53,3.64,,0,,0,36.0,obs,336,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,12.53,3.64,,5.372,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297348.179,c1,search,,0.0,31.1,18.02,11.16,,0,,0,4474.0,obs,506,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,18.02,11.16,,5.372,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297348.179,c1,recommend,,0.0,26.76,12.98,4.12,,0,,0,200.0,obs,674,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,12.98,4.12,,5.372,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297348.179,c2,reserve,,0.0,26.34,12.53,3.64,,0,,0,36.0,obs,336,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,12.53,3.64,,5.372,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297348.179,c2,search,,0.0,31.1,18.02,11.16,,0,,0,4474.0,obs,506,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,18.02,11.16,,5.372,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297348.179,c2,recommend,,0.0,26.76,12.98,4.12,,0,,0,200.0,obs,674,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,12.98,4.12,,5.372,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297349.179,c1,reserve,,0.0,26.34,12.21,3.74,,0,,0,36.0,obs,339,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,12.21,3.74,,5.381,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297349.179,c1,search,,0.0,31.1,17.34,11.12,,0,,0,4474.0,obs,507,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,17.34,11.12,,5.381,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297349.179,c1,recommend,,0.0,26.76,12.81,4.15,,0,,0,200.0,obs,671,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,12.81,4.15,,5.381,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297349.179,c2,reserve,,0.0,26.34,12.21,3.74,,0,,0,36.0,obs,339,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,12.21,3.74,,5.381,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297349.179,c2,search,,0.0,31.1,17.34,11.12,,0,,0,4474.0,obs,507,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,17.34,11.12,,5.381,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297349.179,c2,recommend,,0.0,26.76,12.81,4.15,,0,,0,200.0,obs,671,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,12.81,4.15,,5.381,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297350.179,c1,reserve,,0.0,26.34,12.2,3.8,,0,,0,36.0,obs,338,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,12.2,3.8,,5.417,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297350.179,c1,search,,0.0,31.1,17.86,11.12,,0,,0,4474.0,obs,503,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,17.86,11.12,,5.417,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297350.179,c1,recommend,,0.0,26.76,12.53,4.08,,0,,0,200.0,obs,677,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,12.53,4.08,,5.417,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297350.179,c2,reserve,,0.0,26.34,12.2,3.8,,0,,0,36.0,obs,338,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,12.2,3.8,,5.417,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297350.179,c2,search,,0.0,31.1,17.86,11.12,,0,,0,4474.0,obs,503,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,17.86,11.12,,5.417,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297350.179,c2,recommend,,0.0,26.76,12.53,4.08,,0,,0,200.0,obs,677,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,12.53,4.08,,5.417,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
