ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant
1785901023.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901023.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901023.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901023.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901023.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901024.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901024.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901024.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901024.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901024.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901024.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901025.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901025.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901025.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901025.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901025.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901025.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901026.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901026.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901026.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901026.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901026.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901026.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901027.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901027.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901027.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901027.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901027.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901027.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901028.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901028.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901028.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901028.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901028.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901028.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901028.999,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901028.999,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
