ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes,feasible_set,subset_cluster,feasible_set_const,feasible_set_bytesonly,feasible_set_fconly
1786308364.036,c2,search,,0.0,31.1,20.71,-9.26,S2,1,0.5,0,4474.0,obs,878,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,-9.26,S2,10.328,0,S2,site_s2,S3,S3,S2
1786308364.036,c2,recommend,,0.0,26.76,14.03,-1.4,S2,1,0.5,0,200.0,obs,1176,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,-1.4,S2,10.328,0,S2,site_s2,S3,S3,S2
1786308365.034,c1,reserve,,0.0,26.34,-41.36,3.65,S3,1,0.76,0,36.0,obs,586,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,-41.36,3.65,S3,7.785,0,S3,site_s3,S3,S3,S3
1786308365.034,c1,search,,0.0,31.1,-74.63,10.98,S3,1,0.49,0,4474.0,obs,891,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,-74.63,10.98,S3,7.785,0,S3,site_s3,S3,S3,S3
1786308365.034,c1,recommend,,0.0,26.76,-21.07,4.0,S3,1,0.49,0,200.0,obs,1173,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,-21.07,4.0,S3,7.785,0,S3,site_s3,S3,S3,S3
1786308365.034,c2,reserve,,0.0,26.34,-41.36,3.65,S3,1,0.49,0,36.0,obs,586,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,-41.36,3.65,S3,7.785,0,S3,site_s3,S3,S3,S3
1786308365.034,c2,search,,0.0,31.1,-74.63,10.98,S3,1,0.56,0,4474.0,obs,891,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,-74.63,10.98,S3,7.785,0,S3,site_s3,S3,S3,S3
1786308365.034,c2,recommend,,0.0,26.76,-21.07,4.0,S3,1,0.51,0,200.0,obs,1173,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,-21.07,4.0,S3,7.785,0,S3,site_s3,S3,S3,S3
1786308366.036,c1,reserve,,0.0,26.34,13.67,-5.1,S2,1,0.77,0,36.0,obs,592,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,-5.1,S2,10.431,0,S2,site_s2,S3,S3,S2
1786308366.036,c1,search,,0.0,31.1,20.71,-10.38,S2,1,0.52,0,4474.0,obs,879,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,-10.38,S2,10.431,0,S2,site_s2,S3,S3,S2
1786308366.036,c1,recommend,,0.0,26.76,14.03,-4.32,S2,1,0.52,0,200.0,obs,1174,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,-4.32,S2,10.431,0,S2,site_s2,S3,S3,S2
1786308366.036,c2,reserve,,0.0,26.34,13.67,-5.1,S2,1,0.49,0,36.0,obs,592,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,-5.1,S2,10.431,0,S2,site_s2,S3,S3,S2
1786308366.036,c2,search,,0.0,31.1,20.71,-10.38,S2,1,0.51,0,4474.0,obs,879,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,-10.38,S2,10.431,0,S2,site_s2,S3,S3,S2
1786308366.036,c2,recommend,,0.0,26.76,14.03,-4.32,S2,1,0.49,0,200.0,obs,1174,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,-4.32,S2,10.431,0,S2,site_s2,S3,S3,S2
1786308367.034,c1,reserve,,0.0,26.34,-27.84,3.65,S3,1,0.79,0,36.0,obs,601,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,-27.84,3.65,S3,8.351,0,S3,site_s3,S3,S3,S3
1786308367.034,c1,search,,0.0,31.1,-84.55,10.98,S3,1,0.5,0,4474.0,obs,885,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,-84.55,10.98,S3,8.351,0,S3,site_s3,S3,S3,S3
1786308367.034,c1,recommend,,0.0,26.76,-33.56,4.0,S3,1,0.5,0,200.0,obs,1194,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,-33.56,4.0,S3,8.351,0,S3,site_s3,S3,S3,S3
1786308367.034,c2,reserve,,0.0,26.34,-27.84,3.65,S3,1,0.48,0,36.0,obs,601,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,-27.84,3.65,S3,8.351,0,S3,site_s3,S3,S3,S3
1786308367.034,c2,search,,0.0,31.1,-84.55,10.98,S3,1,0.48,0,4474.0,obs,885,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,-84.55,10.98,S3,8.351,0,S3,site_s3,S3,S3,S3
1786308367.034,c2,recommend,,0.0,26.76,-33.56,4.0,S3,1,0.51,0,200.0,obs,1194,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,-33.56,4.0,S3,8.351,0,S3,site_s3,S3,S3,S3
1786308368.036,c1,reserve,,0.0,26.34,13.67,-8.29,S2,1,0.76,0,36.0,obs,589,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,-8.29,S2,9.598,0,S2,site_s2,S3,S3,S2
1786308368.036,c1,search,,0.0,31.1,20.71,-8.88,S2,1,0.5,0,4474.0,obs,882,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,-8.88,S2,9.598,0,S2,site_s2,S3,S3,S2
1786308368.036,c1,recommend,,0.0,26.76,14.03,-2.12,S2,1,0.49,0,200.0,obs,1182,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,-2.12,S2,9.598,0,S2,site_s2,S3,S3,S2
1786308368.036,c2,reserve,,0.0,26.34,13.67,-8.29,S2,1,0.5,0,36.0,obs,589,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,-8.29,S2,9.598,0,S2,site_s2,S3,S3,S2
1786308368.036,c2,search,,0.0,31.1,20.71,-8.88,S2,1,0.49,0,4474.0,obs,882,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,-8.88,S2,9.598,0,S2,site_s2,S3,S3,S2
1786308368.036,c2,recommend,,0.0,26.76,14.03,-2.12,S2,1,0.47,0,200.0,obs,1182,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,-2.12,S2,9.598,0,S2,site_s2,S3,S3,S2
1786308369.033,c1,reserve,,0.0,26.34,-39.98,3.65,S3,1,0.74,0,36.0,obs,608,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,-39.98,3.65,S3,7.479,0,S3,site_s3,S3,S3,S3
