policy,t_rel_s,class,n,S1_pct,S2_pct,S3_pct
SORTS,72,recommend,203,0.0,55.17,44.83
SORTS,72,reserve,98,0.0,54.08,45.92
SORTS,72,search,148,0.0,62.84,37.16
SORTS,73,recommend,197,0.0,53.3,46.7
SORTS,73,reserve,102,0.0,63.73,36.27
SORTS,73,search,152,0.0,58.55,41.45
SORTS,74,recommend,201,0.0,55.22,44.78
SORTS,74,reserve,100,0.0,61.0,39.0
SORTS,74,search,147,0.0,60.54,39.46
SORTS,75,recommend,200,0.0,54.5,45.5
SORTS,75,reserve,98,0.0,59.18,40.82
SORTS,75,search,153,0.0,59.48,40.52
SORTS,76,recommend,199,0.0,55.28,44.72
SORTS,76,reserve,104,0.0,63.46,36.54
SORTS,76,search,148,0.0,56.08,43.92
SORTS,77,recommend,202,0.0,54.95,45.05
SORTS,77,reserve,96,0.0,58.33,41.67
SORTS,77,search,152,0.0,61.84,38.16
SORTS,78,recommend,197,0.0,55.84,44.16
SORTS,78,reserve,102,0.0,65.69,34.31
SORTS,78,search,150,0.0,54.67,45.33
SORTS,79,recommend,203,0.0,57.14,42.86
SORTS,79,reserve,98,0.0,62.24,37.76
SORTS,79,search,148,0.0,56.08,43.92
SORTS,80,recommend,199,0.0,52.76,47.24
SORTS,80,reserve,102,0.0,62.75,37.25
SORTS,80,search,151,0.0,58.94,41.06
SORTS,81,recommend,202,0.0,56.93,43.07
SORTS,81,reserve,98,0.0,60.2,39.8
SORTS,81,search,149,0.0,59.06,40.94
SORTS,82,recommend,197,0.0,56.85,43.15
SORTS,82,reserve,102,0.0,51.96,48.04
SORTS,82,search,151,0.0,64.24,35.76
SORTS,83,recommend,202,0.0,58.42,41.58
SORTS,83,reserve,100,0.0,62.0,38.0
SORTS,83,search,148,0.0,56.08,43.92
SORTS,84,recommend,201,0.0,58.21,41.79
SORTS,84,reserve,98,0.0,64.29,35.71
SORTS,84,search,152,0.0,53.95,46.05
SORTS,85,recommend,197,0.0,54.82,45.18
SORTS,85,reserve,104,0.0,64.42,35.58
SORTS,85,search,148,0.0,56.08,43.92
SORTS,86,recommend,202,0.0,50.5,49.5
SORTS,86,reserve,96,0.0,57.29,42.71
SORTS,86,search,152,0.0,64.47,35.53
SORTS,87,recommend,198,0.0,53.03,46.97
SORTS,87,reserve,102,0.0,59.8,40.2
SORTS,87,search,150,0.0,57.33,42.67
SORTS,88,recommend,202,0.0,54.46,45.54
SORTS,88,reserve,98,0.0,63.27,36.73
SORTS,88,search,149,0.0,59.06,40.94
SORTS,89,recommend,199,0.0,50.75,49.25
SORTS,89,reserve,102,0.0,58.82,41.18
SORTS,89,search,151,0.0,64.24,35.76
SORTS,90,recommend,201,0.0,55.72,44.28
SORTS,90,reserve,100,0.0,60.0,40.0
SORTS,90,search,148,0.0,57.43,42.57
SORTS,91,recommend,199,0.0,55.28,44.72
SORTS,91,reserve,98,0.0,55.1,44.9
SORTS,91,search,153,0.0,62.09,37.91
SORTS,92,recommend,199,0.0,55.78,44.22
SORTS,92,reserve,104,0.0,58.65,41.35
SORTS,92,search,147,0.0,59.18,40.82
SORTS,93,recommend,201,0.0,57.71,42.29
SORTS,93,reserve,96,0.0,55.21,44.79
SORTS,93,search,152,0.0,57.89,42.11
SORTS,94,recommend,199,0.0,55.28,44.72
SORTS,94,reserve,102,0.0,60.78,39.22
SORTS,94,search,151,0.0,59.6,40.4
SORTS,95,recommend,202,0.0,55.94,44.06
SORTS,95,reserve,98,0.0,64.29,35.71
SORTS,95,search,149,0.0,54.36,45.64
SORTS,96,recommend,197,0.0,57.87,42.13
SORTS,96,reserve,102,0.0,57.84,42.16
SORTS,96,search,151,0.0,58.28,41.72
SORTS,97,recommend,204,0.0,57.35,42.65
SORTS,97,reserve,98,0.0,57.14,42.86
SORTS,97,search,147,0.0,60.54,39.46
SORTS,98,recommend,197,0.0,56.85,43.15
SORTS,98,reserve,102,0.0,60.78,39.22
SORTS,98,search,152,0.0,59.21,40.79
SORTS,99,recommend,202,0.0,61.39,38.61
SORTS,99,reserve,100,0.0,56.0,44.0
SORTS,99,search,149,0.0,54.36,45.64
SORTS,100,recommend,200,0.0,63.5,36.5
SORTS,100,reserve,98,0.0,46.94,53.06
SORTS,100,search,152,0.0,56.58,43.42
SORTS,101,recommend,199,0.0,56.78,43.22
SORTS,101,reserve,104,0.0,57.69,42.31
SORTS,101,search,146,0.0,60.27,39.73
SORTS,102,recommend,201,0.0,58.71,41.29
SORTS,102,reserve,96,0.0,62.5,37.5
SORTS,102,search,154,0.0,54.55,45.45
SORTS,103,recommend,198,0.0,61.11,38.89
SORTS,103,reserve,102,0.0,56.86,43.14
SORTS,103,search,149,0.0,54.36,45.64
SORTS,104,recommend,203,0.0,57.64,42.36
SORTS,104,reserve,98,0.0,57.14,42.86
SORTS,104,search,149,0.0,54.36,45.64
SORTS,105,recommend,198,0.0,55.05,44.95
SORTS,105,reserve,102,0.0,57.84,42.16
SORTS,105,search,150,0.0,60.0,40.0
SORTS,106,recommend,201,0.0,55.72,44.28
SORTS,106,reserve,100,0.0,60.0,40.0
SORTS,106,search,149,0.0,57.72,42.28
SORTS,107,recommend,200,0.0,54.0,46.0
SORTS,107,reserve,98,0.0,52.04,47.96
SORTS,107,search,153,0.0,60.78,39.22
SORTS,108,recommend,197,0.0,57.87,42.13
SORTS,108,reserve,104,0.0,58.65,41.35
SORTS,108,search,147,0.0,55.1,44.9
SORTS,109,recommend,203,0.0,53.69,46.31
SORTS,109,reserve,96,0.0,54.17,45.83
SORTS,109,search,152,0.0,63.16,36.84
SORTS,110,recommend,197,0.0,53.3,46.7
SORTS,110,reserve,102,0.0,56.86,43.14
SORTS,110,search,151,0.0,57.62,42.38
SORTS,111,recommend,204,0.0,59.31,40.69
SORTS,111,reserve,98,0.0,65.31,34.69
SORTS,111,search,148,0.0,55.41,44.59
SORTS,112,recommend,197,0.0,54.82,45.18
SORTS,112,reserve,102,0.0,54.9,45.1
SORTS,112,search,151,0.0,57.62,42.38
SORTS,113,recommend,202,0.0,55.45,44.55
SORTS,113,reserve,98,0.0,50.0,50.0
SORTS,113,search,149,0.0,63.76,36.24
SORTS,114,recommend,198,0.0,53.54,46.46
SORTS,114,reserve,102,0.0,58.82,41.18
SORTS,114,search,151,0.0,60.26,39.74
SORTS,115,recommend,201,0.0,51.24,48.76
SORTS,115,reserve,100,0.0,64.0,36.0
SORTS,115,search,148,0.0,58.11,41.89
SORTS,116,recommend,202,0.0,53.96,46.04
SORTS,116,reserve,98,0.0,64.29,35.71
SORTS,116,search,153,0.0,58.17,41.83
SORTS,117,recommend,197,0.0,53.3,46.7
SORTS,117,reserve,104,0.0,61.54,38.46
SORTS,117,search,146,0.0,63.7,36.3
SORTS,118,recommend,201,0.0,59.7,40.3
SORTS,118,reserve,96,0.0,56.25,43.75
SORTS,118,search,153,0.0,56.86,43.14
SORTS,119,recommend,199,0.0,57.29,42.71
SORTS,119,reserve,102,0.0,59.8,40.2
SORTS,119,search,150,0.0,59.33,40.67
SORTS,120,recommend,202,0.0,57.92,42.08
SORTS,120,reserve,98,0.0,56.12,43.88
SORTS,120,search,149,26.85,47.65,25.5
SORTS,121,recommend,198,0.0,59.09,40.91
SORTS,121,reserve,101,0.0,55.45,44.55
SORTS,121,search,150,50.0,28.67,21.33
SORTS,122,recommend,202,0.0,52.97,47.03
SORTS,122,reserve,101,0.0,57.43,42.57
SORTS,122,search,149,49.66,30.2,20.13
SORTS,123,recommend,199,0.0,58.79,41.21
SORTS,123,reserve,98,0.0,53.06,46.94
SORTS,123,search,152,50.0,28.29,21.71
SORTS,124,recommend,198,0.0,58.08,41.92
SORTS,124,reserve,103,0.0,60.19,39.81
SORTS,124,search,148,50.0,28.38,21.62
SORTS,125,recommend,203,0.0,54.68,45.32
SORTS,125,reserve,97,0.0,58.76,41.24
SORTS,125,search,152,50.0,32.24,17.76
SORTS,126,recommend,197,0.0,54.31,45.69
SORTS,126,reserve,102,0.0,56.86,43.14
SORTS,126,search,150,50.0,28.0,22.0
SORTS,127,recommend,203,0.0,58.62,41.38
SORTS,127,reserve,98,0.0,53.06,46.94
SORTS,127,search,149,50.34,28.19,21.48
SORTS,128,recommend,197,0.0,57.87,42.13
SORTS,128,reserve,102,0.0,62.75,37.25
SORTS,128,search,151,49.67,25.17,25.17
SORTS,129,recommend,203,0.0,58.62,41.38
SORTS,129,reserve,98,0.0,61.22,38.78
SORTS,129,search,147,50.34,27.21,22.45
SORTS,130,recommend,198,0.0,59.09,40.91
SORTS,130,reserve,102,0.0,51.96,48.04
SORTS,130,search,152,50.0,30.92,19.08
SORTS,131,recommend,201,0.0,56.72,43.28
SORTS,131,reserve,99,0.0,62.63,37.37
SORTS,131,search,148,50.0,25.0,25.0
SORTS,132,recommend,200,0.0,56.0,44.0
SORTS,132,reserve,99,0.0,59.6,40.4
SORTS,132,search,153,49.67,32.68,17.65
SORTS,133,recommend,199,0.0,61.81,38.19
SORTS,133,reserve,104,0.0,53.85,46.15
SORTS,133,search,148,50.0,27.03,22.97
SORTS,134,recommend,202,0.0,60.89,39.11
SORTS,134,reserve,96,0.0,56.25,43.75
SORTS,134,search,151,50.33,25.17,24.5
SORTS,135,recommend,197,0.0,57.36,42.64
SORTS,135,reserve,102,0.0,58.82,41.18
SORTS,135,search,151,49.67,27.81,22.52
SORTS,136,recommend,203,0.0,54.68,45.32
SORTS,136,reserve,98,0.0,62.24,37.76
SORTS,136,search,149,50.34,28.86,20.81
SORTS,137,recommend,198,0.0,59.09,40.91
SORTS,137,reserve,101,0.0,58.42,41.58
SORTS,137,search,150,50.0,28.67,21.33
SORTS,138,recommend,202,0.0,59.41,40.59
SORTS,138,reserve,101,0.0,54.46,45.54
SORTS,138,search,148,50.0,28.38,21.62
SORTS,139,recommend,200,0.0,63.0,37.0
SORTS,139,reserve,98,0.0,45.92,54.08
SORTS,139,search,153,49.67,30.72,19.61
SORTS,140,recommend,197,0.0,59.39,40.61
SORTS,140,reserve,103,0.0,49.51,50.49
SORTS,140,search,148,50.0,29.05,20.95
SORTS,141,recommend,203,0.0,56.65,43.35
SORTS,141,reserve,97,0.0,58.76,41.24
SORTS,141,search,152,50.0,29.61,20.39
SORTS,142,recommend,196,0.0,61.22,38.78
SORTS,142,reserve,102,0.0,45.1,54.9
SORTS,142,search,150,50.0,28.0,22.0
SORTS,143,recommend,204,0.0,53.43,46.57
SORTS,143,reserve,98,0.0,62.24,37.76
SORTS,143,search,150,50.0,28.67,21.33
SORTS,144,recommend,198,0.0,56.06,43.94
SORTS,144,reserve,102,0.0,58.82,41.18
SORTS,144,search,149,50.34,30.87,18.79
SORTS,145,recommend,203,0.0,56.16,43.84
SORTS,145,reserve,98,0.0,55.1,44.9
SORTS,145,search,149,49.66,33.56,16.78
SORTS,146,recommend,197,0.0,58.38,41.62
SORTS,146,reserve,102,0.0,49.02,50.98
