policy,t_rel_s,S1,S2,S3,S1_pct,S2_pct,S3_pct
SORTS,85,0,468,331,0.0,58.57,41.43
SORTS,86,0,471,328,0.0,58.95,41.05
SORTS,87,0,470,330,0.0,58.75,41.25
SORTS,88,0,464,336,0.0,58.0,42.0
SORTS,89,0,470,331,0.0,58.68,41.32
SORTS,90,0,465,336,0.0,58.05,41.95
SORTS,91,0,466,332,0.0,58.4,41.6
SORTS,92,0,469,332,0.0,58.55,41.45
SORTS,93,0,464,334,0.0,58.15,41.85
SORTS,94,0,465,337,0.0,57.98,42.02
SORTS,95,0,471,330,0.0,58.8,41.2
SORTS,96,0,464,335,0.0,58.07,41.93
SORTS,97,0,463,337,0.0,57.88,42.12
SORTS,98,0,471,328,0.0,58.95,41.05
SORTS,99,0,471,331,0.0,58.73,41.27
SORTS,100,0,465,334,0.0,58.2,41.8
SORTS,101,0,466,332,0.0,58.4,41.6
SORTS,102,0,469,333,0.0,58.48,41.52
SORTS,103,0,470,331,0.0,58.68,41.32
SORTS,104,0,468,331,0.0,58.57,41.43
SORTS,105,0,475,327,0.0,59.23,40.77
SORTS,106,0,467,331,0.0,58.52,41.48
SORTS,107,0,469,330,0.0,58.7,41.3
SORTS,108,0,470,329,0.0,58.82,41.18
SORTS,109,0,471,329,0.0,58.88,41.12
SORTS,110,0,469,331,0.0,58.62,41.38
SORTS,111,0,473,326,0.0,59.2,40.8
SORTS,112,0,468,335,0.0,58.28,41.72
SORTS,113,0,473,326,0.0,59.2,40.8
SORTS,114,0,463,338,0.0,57.8,42.2
SORTS,115,0,470,332,0.0,58.6,41.4
SORTS,116,0,464,332,0.0,58.29,41.71
SORTS,117,0,466,336,0.0,58.1,41.9
SORTS,118,0,474,325,0.0,59.32,40.68
SORTS,119,0,472,329,0.0,58.93,41.07
SORTS,120,0,454,341,0.0,57.11,42.89
SORTS,121,49,446,309,6.09,55.47,38.43
SORTS,122,98,423,277,12.28,53.01,34.71
SORTS,123,98,428,274,12.25,53.5,34.25
SORTS,124,92,429,279,11.5,53.62,34.88
SORTS,125,95,432,274,11.86,53.93,34.21
SORTS,126,94,425,281,11.75,53.12,35.12
SORTS,127,96,430,275,11.99,53.68,34.33
SORTS,128,89,436,275,11.12,54.5,34.38
SORTS,129,91,433,272,11.43,54.4,34.17
SORTS,130,97,427,280,12.06,53.11,34.83
SORTS,131,97,420,280,12.17,52.7,35.13
SORTS,132,95,431,276,11.85,53.74,34.41
SORTS,133,94,422,281,11.79,52.95,35.26
SORTS,134,97,426,279,12.09,53.12,34.79
SORTS,135,102,417,282,12.73,52.06,35.21
SORTS,136,84,433,282,10.51,54.19,35.29
SORTS,137,97,424,279,12.12,53.0,34.88
SORTS,138,98,425,278,12.23,53.06,34.71
SORTS,139,91,431,281,11.33,53.67,34.99
SORTS,140,104,414,279,13.05,51.94,35.01
SORTS,141,95,427,276,11.9,53.51,34.59
SORTS,142,99,426,276,12.36,53.18,34.46
SORTS,143,98,424,278,12.25,53.0,34.75
SORTS,144,98,427,278,12.2,53.18,34.62
SORTS,145,94,429,272,11.82,53.96,34.21
SORTS,146,92,437,273,11.47,54.49,34.04
SORTS,147,100,419,282,12.48,52.31,35.21
SORTS,148,89,435,274,11.15,54.51,34.34
SORTS,149,101,421,278,12.62,52.62,34.75
SORTS,150,92,430,278,11.5,53.75,34.75
SORTS,151,98,425,278,12.23,53.06,34.71
SORTS,152,98,422,281,12.23,52.68,35.08
SORTS,153,96,429,274,12.02,53.69,34.29
SORTS,154,95,432,274,11.86,53.93,34.21
SORTS,155,100,423,277,12.5,52.88,34.62
SORTS,156,103,424,274,12.86,52.93,34.21
SORTS,157,97,425,277,12.14,53.19,34.67
SORTS,158,99,422,278,12.39,52.82,34.79
SORTS,159,95,426,279,11.88,53.25,34.88
SORTS,160,104,411,284,13.02,51.44,35.54
SORTS,161,87,434,281,10.85,54.11,35.04
SORTS,162,99,425,276,12.38,53.12,34.5
SORTS,163,100,420,280,12.5,52.5,35.0
SORTS,164,99,421,280,12.38,52.62,35.0
SORTS,165,98,423,278,12.27,52.94,34.79
SORTS,166,102,418,282,12.72,52.12,35.16
SORTS,167,104,418,276,13.03,52.38,34.59
SORTS,168,89,438,271,11.15,54.89,33.96
SORTS,169,93,427,283,11.58,53.18,35.24
SORTS,170,103,415,281,12.89,51.94,35.17
SORTS,171,110,411,281,13.72,51.25,35.04
SORTS,172,97,426,275,12.16,53.38,34.46
SORTS,173,102,425,274,12.73,53.06,34.21
SORTS,174,93,424,283,11.62,53.0,35.38
SORTS,175,99,423,275,12.42,53.07,34.5
SORTS,176,103,416,282,12.86,51.94,35.21
SORTS,177,101,426,274,12.61,53.18,34.21
SORTS,178,102,424,276,12.72,52.87,34.41
SORTS,179,87,427,287,10.86,53.31,35.83
SORTS,180,99,413,281,12.48,52.08,35.44
SORTS,181,96,444,256,12.06,55.78,32.16
SORTS,182,96,481,225,11.97,59.98,28.05
SORTS,183,88,487,227,10.97,60.72,28.3
SORTS,184,83,494,223,10.38,61.75,27.88
SORTS,185,101,481,218,12.62,60.12,27.25
SORTS,186,91,473,233,11.42,59.35,29.23
SORTS,187,103,478,223,12.81,59.45,27.74
SORTS,188,86,489,223,10.78,61.28,27.94
SORTS,189,97,479,228,12.06,59.58,28.36
SORTS,190,104,470,223,13.05,58.97,27.98
SORTS,191,91,490,220,11.36,61.17,27.47
SORTS,192,86,482,232,10.75,60.25,29.0
SORTS,193,94,479,226,11.76,59.95,28.29
SORTS,194,98,480,223,12.23,59.93,27.84
SORTS,195,94,483,221,11.78,60.53,27.69
SORTS,196,89,484,231,11.07,60.2,28.73
SORTS,197,107,466,225,13.41,58.4,28.2
SORTS,198,90,490,221,11.24,61.17,27.59
SORTS,199,89,489,218,11.18,61.43,27.39
SORTS,200,93,483,227,11.58,60.15,28.27
SORTS,201,102,477,221,12.75,59.62,27.62
SORTS,202,93,481,227,11.61,60.05,28.34
SORTS,203,97,480,220,12.17,60.23,27.6
SORTS,204,106,471,225,13.22,58.73,28.05
SORTS,205,90,490,221,11.24,61.17,27.59
SORTS,206,95,483,222,11.88,60.38,27.75
SORTS,207,93,486,220,11.64,60.83,27.53
SORTS,208,96,479,224,12.02,59.95,28.04
SORTS,209,89,484,225,11.15,60.65,28.2
SORTS,210,94,476,230,11.75,59.5,28.75
SORTS,211,99,479,225,12.33,59.65,28.02
SORTS,212,97,482,221,12.12,60.25,27.62
SORTS,213,99,472,227,12.41,59.15,28.45
SORTS,214,92,486,225,11.46,60.52,28.02
SORTS,215,94,473,233,11.75,59.12,29.12
SORTS,216,95,479,225,11.89,59.95,28.16
SORTS,217,96,473,224,12.11,59.65,28.25
SORTS,218,88,493,224,10.93,61.24,27.83
SORTS,219,106,473,222,13.23,59.05,27.72
SORTS,220,93,480,228,11.61,59.93,28.46
SORTS,221,95,480,226,11.86,59.93,28.21
SORTS,222,101,467,231,12.64,58.45,28.91
SORTS,223,90,485,226,11.24,60.55,28.21
SORTS,224,101,469,230,12.62,58.62,28.75
SORTS,225,100,477,223,12.5,59.62,27.88
SORTS,226,105,473,217,13.21,59.5,27.3
SORTS,227,100,471,233,12.44,58.58,28.98
SORTS,228,99,476,225,12.38,59.5,28.12
SORTS,229,94,488,219,11.74,60.92,27.34
SORTS,230,98,476,223,12.3,59.72,27.98
SORTS,231,93,484,222,11.64,60.58,27.78
SORTS,232,95,478,230,11.83,59.53,28.64
SORTS,233,101,477,222,12.62,59.62,27.75
SORTS,234,107,468,225,13.38,58.5,28.12
SORTS,235,99,481,220,12.38,60.12,27.5
SORTS,236,98,482,218,12.28,60.4,27.32
SORTS,237,99,475,226,12.38,59.38,28.25
SORTS,238,100,484,218,12.47,60.35,27.18
SORTS,239,105,474,221,13.12,59.25,27.62
SORTS,240,100,478,233,12.33,58.94,28.73
SORTS,241,53,468,273,6.68,58.94,34.38
SORTS,242,0,466,334,0.0,58.25,41.75
SORTS,243,0,467,334,0.0,58.3,41.7
SORTS,244,0,468,329,0.0,58.72,41.28
SORTS,245,0,466,337,0.0,58.03,41.97
SORTS,246,0,467,334,0.0,58.3,41.7
SORTS,247,0,464,334,0.0,58.15,41.85
SORTS,248,0,458,341,0.0,57.32,42.68
SORTS,249,0,474,330,0.0,58.96,41.04
SORTS,250,0,456,342,0.0,57.14,42.86
SORTS,251,0,470,329,0.0,58.82,41.18
SORTS,252,0,464,337,0.0,57.93,42.07
SORTS,253,0,465,333,0.0,58.27,41.73
SORTS,254,0,472,331,0.0,58.78,41.22
SORTS,255,0,468,329,0.0,58.72,41.28
SORTS,256,0,473,330,0.0,58.9,41.1
SORTS,257,0,468,329,0.0,58.72,41.28
SORTS,258,0,477,325,0.0,59.48,40.52
SORTS,259,0,472,327,0.0,59.07,40.93
SORTS,260,0,464,337,0.0,57.93,42.07
SORTS,261,0,468,331,0.0,58.57,41.43
SORTS,262,0,473,327,0.0,59.12,40.88
SORTS,263,0,464,335,0.0,58.07,41.93
SORTS,264,0,476,327,0.0,59.28,40.72
SORTS,265,0,468,331,0.0,58.57,41.43
SORTS,266,0,471,329,0.0,58.88,41.12
SORTS,267,0,470,332,0.0,58.6,41.4
SORTS,268,0,468,330,0.0,58.65,41.35
SORTS,269,0,466,333,0.0,58.32,41.68
SORTS,270,0,462,342,0.0,57.46,42.54
SORTS,271,0,469,326,0.0,58.99,41.01
SORTS,272,0,467,335,0.0,58.23,41.77
SORTS,273,0,464,336,0.0,58.0,42.0
SORTS,274,0,465,333,0.0,58.27,41.73
SORTS,275,0,467,334,0.0,58.3,41.7
SORTS,276,0,469,333,0.0,58.48,41.52
SORTS,277,0,468,330,0.0,58.65,41.35
SORTS,278,0,469,331,0.0,58.62,41.38
SORTS,279,0,467,335,0.0,58.23,41.77
SORTS,280,0,466,331,0.0,58.47,41.53
SORTS,281,0,471,331,0.0,58.73,41.27
SORTS,282,0,469,332,0.0,58.55,41.45
SORTS,283,0,469,330,0.0,58.7,41.3
SORTS,284,0,470,329,0.0,58.82,41.18
SORTS,285,0,468,332,0.0,58.5,41.5
SORTS,286,0,472,329,0.0,58.93,41.07
SORTS,287,0,464,334,0.0,58.15,41.85
SORTS,288,0,464,339,0.0,57.78,42.22
SORTS,289,0,463,335,0.0,58.02,41.98
SORTS,290,0,472,330,0.0,58.85,41.15
SORTS,291,0,466,333,0.0,58.32,41.68
SORTS,292,0,468,331,0.0,58.57,41.43
SORTS,293,0,462,339,0.0,57.68,42.32
SORTS,294,0,474,327,0.0,59.18,40.82
SORTS,295,0,465,334,0.0,58.2,41.8
SORTS,296,0,467,332,0.0,58.45,41.55
SORTS,297,0,469,333,0.0,58.48,41.52
SORTS,298,0,470,327,0.0,58.97,41.03
SORTS,299,0,467,331,0.0,58.52,41.48
SORTS,300,0,11,10,0.0,52.38,47.62
bl_lr,0,383,248,170,47.82,30.96,21.22
bl_lr,1,402,227,165,50.63,28.59,20.78
bl_lr,2,405,228,170,50.44,28.39,21.17
bl_lr,3,374,246,181,46.69,30.71,22.6
bl_lr,4,394,231,171,49.5,29.02,21.48
bl_lr,5,392,234,174,49.0,29.25,21.75
bl_lr,6,404,235,165,50.25,29.23,20.52
bl_lr,7,400,233,168,49.94,29.09,20.97
bl_lr,8,388,236,175,48.56,29.54,21.9
bl_lr,9,392,235,175,48.88,29.3,21.82
bl_lr,10,390,238,168,48.99,29.9,21.11
bl_lr,11,391,236,174,48.81,29.46,21.72
bl_lr,12,372,242,181,46.79,30.44,22.77
bl_lr,13,397,228,180,49.32,28.32,22.36
bl_lr,14,411,220,169,51.38,27.5,21.12
bl_lr,15,399,227,174,49.88,28.38,21.75
bl_lr,16,406,228,166,50.75,28.5,20.75
bl_lr,17,386,243,173,48.13,30.3,21.57
bl_lr,18,386,232,181,48.31,29.04,22.65
bl_lr,19,395,239,165,49.44,29.91,20.65
bl_lr,20,390,237,175,48.63,29.55,21.82
bl_lr,21,400,227,171,50.13,28.45,21.43
bl_lr,22,404,223,172,50.56,27.91,21.53
bl_lr,23,396,233,174,49.32,29.02,21.67
bl_lr,24,401,224,173,50.25,28.07,21.68
bl_lr,25,407,230,164,50.81,28.71,20.47
bl_lr,26,407,223,169,50.94,27.91,21.15
bl_lr,27,387,233,179,48.44,29.16,22.4
bl_lr,28,398,233,171,49.63,29.05,21.32
bl_lr,29,403,223,171,50.56,27.98,21.46
bl_lr,30,401,230,169,50.12,28.75,21.12
bl_lr,31,390,240,171,48.69,29.96,21.35
bl_lr,32,382,244,176,47.63,30.42,21.95
bl_lr,33,395,236,169,49.38,29.5,21.12
bl_lr,34,414,222,165,51.69,27.72,20.6
bl_lr,35,397,223,178,49.75,27.94,22.31
bl_lr,36,367,248,181,46.11,31.16,22.74
bl_lr,37,407,231,166,50.62,28.73,20.65
bl_lr,38,395,238,168,49.31,29.71,20.97
bl_lr,39,390,233,176,48.81,29.16,22.03
bl_lr,40,399,234,168,49.81,29.21,20.97
bl_lr,41,411,225,164,51.38,28.12,20.5
bl_lr,42,392,235,170,49.18,29.49,21.33
bl_lr,43,381,245,177,47.45,30.51,22.04
bl_lr,44,405,226,167,50.75,28.32,20.93
bl_lr,45,392,237,173,48.88,29.55,21.57
bl_lr,46,401,230,167,50.25,28.82,20.93
bl_lr,47,391,234,176,48.81,29.21,21.97
bl_lr,48,396,232,172,49.5,29.0,21.5
bl_lr,49,383,238,177,47.99,29.82,22.18
bl_lr,50,387,238,177,48.25,29.68,22.07
bl_lr,51,386,239,176,48.19,29.84,21.97
bl_lr,52,403,228,170,50.31,28.46,21.22
bl_lr,53,387,241,170,48.5,30.2,21.3
bl_lr,54,391,237,173,48.81,29.59,21.6
bl_lr,55,396,231,171,49.62,28.95,21.43
bl_lr,56,398,232,169,49.81,29.04,21.15
bl_lr,57,405,230,168,50.44,28.64,20.92
bl_lr,58,392,232,175,49.06,29.04,21.9
bl_lr,59,398,233,168,49.81,29.16,21.03
bl_lr,60,399,232,171,49.75,28.93,21.32
bl_lr,61,408,225,165,51.13,28.2,20.68
bl_lr,62,403,226,170,50.44,28.29,21.28
bl_lr,63,390,243,170,48.57,30.26,21.17
bl_lr,64,391,239,168,49.0,29.95,21.05
bl_lr,65,390,237,174,48.69,29.59,21.72
bl_lr,66,398,233,167,49.87,29.2,20.93
bl_lr,67,389,241,171,48.56,30.09,21.35
bl_lr,68,398,237,166,49.69,29.59,20.72
bl_lr,69,415,223,159,52.07,27.98,19.95
bl_lr,70,396,236,172,49.25,29.35,21.39
bl_lr,71,399,239,163,49.81,29.84,20.35
bl_lr,72,398,231,169,49.87,28.95,21.18
bl_lr,73,389,234,176,48.69,29.29,22.03
bl_lr,74,403,231,164,50.5,28.95,20.55
bl_lr,75,404,223,175,50.37,27.81,21.82
bl_lr,76,413,229,162,51.37,28.48,20.15
bl_lr,77,390,234,171,49.06,29.43,21.51
bl_lr,78,412,226,164,51.37,28.18,20.45
bl_lr,79,396,238,167,49.44,29.71,20.85
bl_lr,80,383,238,179,47.88,29.75,22.38
bl_lr,81,382,245,172,47.81,30.66,21.53
bl_lr,82,404,231,163,50.63,28.95,20.43
bl_lr,83,394,231,174,49.31,28.91,21.78
bl_lr,84,388,238,176,48.38,29.68,21.95
bl_lr,85,407,230,163,50.88,28.75,20.38
bl_lr,86,387,241,174,48.25,30.05,21.7
bl_lr,87,399,224,175,50.0,28.07,21.93
bl_lr,88,374,253,175,46.63,31.55,21.82
bl_lr,89,386,240,174,48.25,30.0,21.75
bl_lr,90,396,233,168,49.69,29.23,21.08
bl_lr,91,388,239,177,48.26,29.73,22.01
bl_lr,92,410,219,167,51.51,27.51,20.98
bl_lr,93,398,236,168,49.63,29.43,20.95
bl_lr,94,391,234,177,48.75,29.18,22.07
bl_lr,95,400,236,163,50.06,29.54,20.4
bl_lr,96,391,233,176,48.88,29.12,22.0
bl_lr,97,394,234,171,49.31,29.29,21.4
bl_lr,98,385,243,172,48.12,30.38,21.5
bl_lr,99,394,228,177,49.31,28.54,22.15
bl_lr,100,400,238,161,50.06,29.79,20.15
bl_lr,101,409,229,163,51.06,28.59,20.35
bl_lr,102,389,240,169,48.75,30.08,21.18
bl_lr,103,399,228,180,49.44,28.25,22.3
bl_lr,104,380,233,182,47.8,29.31,22.89
bl_lr,105,387,232,181,48.38,29.0,22.62
bl_lr,106,392,234,174,49.0,29.25,21.75
bl_lr,107,394,238,169,49.19,29.71,21.1
bl_lr,108,406,228,165,50.81,28.54,20.65
bl_lr,109,382,250,171,47.57,31.13,21.3
bl_lr,110,408,226,166,51.0,28.25,20.75
bl_lr,111,389,232,174,48.93,29.18,21.89
bl_lr,112,388,243,172,48.32,30.26,21.42
bl_lr,113,378,241,181,47.25,30.12,22.62
bl_lr,114,404,240,158,50.37,29.93,19.7
bl_lr,115,408,228,163,51.06,28.54,20.4
bl_lr,116,390,239,171,48.75,29.88,21.38
bl_lr,117,390,232,177,48.81,29.04,22.15
bl_lr,118,411,231,156,51.5,28.95,19.55
bl_lr,119,396,240,166,49.38,29.93,20.7
bl_lr,120,407,218,170,51.19,27.42,21.38
bl_lr,121,391,236,175,48.75,29.43,21.82
bl_lr,122,391,233,173,49.06,29.23,21.71
bl_lr,123,378,245,178,47.19,30.59,22.22
bl_lr,124,402,228,167,50.44,28.61,20.95
bl_lr,125,391,240,173,48.63,29.85,21.52
bl_lr,126,397,239,162,49.75,29.95,20.3
bl_lr,127,404,224,172,50.5,28.0,21.5
bl_lr,128,398,224,178,49.75,28.0,22.25
bl_lr,129,416,221,165,51.87,27.56,20.57
bl_lr,130,386,243,172,48.19,30.34,21.47
bl_lr,131,384,243,171,48.12,30.45,21.43
bl_lr,132,384,246,174,47.76,30.6,21.64
bl_lr,133,379,241,174,47.73,30.35,21.91
bl_lr,134,397,232,174,49.44,28.89,21.67
bl_lr,135,401,218,180,50.19,27.28,22.53
bl_lr,136,409,233,158,51.12,29.12,19.75
bl_lr,137,391,237,169,49.06,29.74,21.2
bl_lr,138,392,234,178,48.76,29.1,22.14
bl_lr,139,380,239,183,47.38,29.8,22.82
bl_lr,140,375,244,181,46.88,30.5,22.62
bl_lr,141,398,234,169,49.69,29.21,21.1
bl_lr,142,396,234,167,49.69,29.36,20.95
bl_lr,143,375,241,185,46.82,30.09,23.1
bl_lr,144,394,231,172,49.44,28.98,21.58
bl_lr,145,399,237,163,49.94,29.66,20.4
bl_lr,146,384,240,178,47.88,29.93,22.19
bl_lr,147,394,241,165,49.25,30.12,20.62
bl_lr,148,412,227,163,51.37,28.3,20.32
bl_lr,149,366,245,186,45.92,30.74,23.34
bl_lr,150,387,240,175,48.25,29.93,21.82
bl_lr,151,399,239,164,49.75,29.8,20.45
bl_lr,152,379,244,173,47.61,30.65,21.73
bl_lr,153,374,245,183,46.63,30.55,22.82
bl_lr,154,384,238,177,48.06,29.79,22.15
bl_lr,155,387,235,178,48.38,29.38,22.25
bl_lr,156,393,230,175,49.25,28.82,21.93
bl_lr,157,394,234,178,48.88,29.03,22.08
bl_lr,158,393,236,167,49.37,29.65,20.98
bl_lr,159,389,237,172,48.75,29.7,21.55
bl_lr,160,389,241,173,48.44,30.01,21.54
bl_lr,161,397,235,168,49.62,29.38,21.0
bl_lr,162,387,236,173,48.62,29.65,21.73
bl_lr,163,378,247,177,47.13,30.8,22.07
bl_lr,164,390,235,176,48.69,29.34,21.97
bl_lr,165,392,234,174,49.0,29.25,21.75
bl_lr,166,395,232,176,49.19,28.89,21.92
bl_lr,167,388,232,176,48.74,29.15,22.11
bl_lr,168,406,232,163,50.69,28.96,20.35
bl_lr,169,402,234,165,50.19,29.21,20.6
bl_lr,170,400,227,172,50.06,28.41,21.53
bl_lr,171,374,246,180,46.75,30.75,22.5
bl_lr,172,402,224,173,50.31,28.04,21.65
bl_lr,173,382,244,177,47.57,30.39,22.04
bl_lr,174,380,243,175,47.62,30.45,21.93
bl_lr,175,392,238,171,48.94,29.71,21.35
bl_lr,176,399,227,171,50.06,28.48,21.46
bl_lr,177,390,237,176,48.57,29.51,21.92
bl_lr,178,381,243,174,47.74,30.45,21.8
bl_lr,179,390,241,175,48.39,29.9,21.71
bl_lr,180,393,230,160,50.19,29.37,20.43
bl_lr,181,384,236,183,47.82,29.39,22.79
bl_lr,182,402,234,170,49.88,29.03,21.09
bl_lr,183,383,237,179,47.93,29.66,22.4
bl_lr,184,381,242,177,47.62,30.25,22.12
bl_lr,185,392,236,175,48.82,29.39,21.79
bl_lr,186,382,248,167,47.93,31.12,20.95
bl_lr,187,389,237,173,48.69,29.66,21.65
bl_lr,188,396,230,176,49.38,28.68,21.95
bl_lr,189,394,240,166,49.25,30.0,20.75
bl_lr,190,401,222,173,50.38,27.89,21.73
bl_lr,191,395,233,174,49.25,29.05,21.7
bl_lr,192,383,244,175,47.76,30.42,21.82
bl_lr,193,373,242,181,46.86,30.4,22.74
bl_lr,194,395,240,167,49.25,29.93,20.82
bl_lr,195,390,238,175,48.57,29.64,21.79
bl_lr,196,389,235,177,48.56,29.34,22.1
bl_lr,197,395,237,165,49.56,29.74,20.7
bl_lr,198,384,242,170,48.24,30.4,21.36
bl_lr,199,380,240,183,47.32,29.89,22.79
bl_lr,200,404,222,177,50.31,27.65,22.04
bl_lr,201,401,229,167,50.31,28.73,20.95
bl_lr,202,393,243,168,48.88,30.22,20.9
bl_lr,203,379,237,180,47.61,29.77,22.61
bl_lr,204,396,232,172,49.5,29.0,21.5
bl_lr,205,393,229,180,49.0,28.55,22.44
bl_lr,206,398,237,165,49.75,29.62,20.62
bl_lr,207,401,225,172,50.25,28.2,21.55
bl_lr,208,373,253,174,46.62,31.62,21.75
bl_lr,209,399,231,171,49.81,28.84,21.35
bl_lr,210,372,241,187,46.5,30.12,23.38
bl_lr,211,397,238,163,49.75,29.82,20.43
bl_lr,212,379,248,176,47.2,30.88,21.92
bl_lr,213,383,235,180,47.99,29.45,22.56
bl_lr,214,392,238,170,49.0,29.75,21.25
bl_lr,215,386,246,169,48.19,30.71,21.1
bl_lr,216,379,245,176,47.38,30.62,22.0
bl_lr,217,384,240,174,48.12,30.08,21.8
bl_lr,218,396,230,179,49.19,28.57,22.24
bl_lr,219,374,247,174,47.04,31.07,21.89
bl_lr,220,398,232,174,49.5,28.86,21.64
bl_lr,221,387,236,174,48.56,29.61,21.83
bl_lr,222,403,226,171,50.38,28.25,21.38
bl_lr,223,375,244,187,46.53,30.27,23.2
bl_lr,224,393,230,168,49.68,29.08,21.24
bl_lr,225,393,238,177,48.64,29.46,21.91
bl_lr,226,395,232,169,49.62,29.15,21.23
bl_lr,227,396,240,166,49.38,29.93,20.7
bl_lr,228,401,235,164,50.12,29.38,20.5
bl_lr,229,387,242,170,48.44,30.29,21.28
bl_lr,230,381,238,179,47.74,29.82,22.43
bl_lr,231,383,251,167,47.82,31.34,20.85
bl_lr,232,391,232,177,48.88,29.0,22.12
bl_lr,233,381,239,180,47.62,29.88,22.5
bl_lr,234,391,231,180,48.75,28.8,22.44
bl_lr,235,395,233,168,49.62,29.27,21.11
bl_lr,236,389,240,172,48.56,29.96,21.47
bl_lr,237,397,241,166,49.38,29.98,20.65
bl_lr,238,390,230,176,48.99,28.89,22.11
bl_lr,239,401,232,165,50.25,29.07,20.68
bl_lr,240,390,245,175,48.15,30.25,21.6
bl_lr,241,395,232,176,49.19,28.89,21.92
bl_lr,242,398,231,170,49.81,28.91,21.28
bl_lr,243,396,229,177,49.38,28.55,22.07
bl_lr,244,380,244,171,47.8,30.69,21.51
bl_lr,245,389,238,177,48.38,29.6,22.01
