ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes,feasible_set,subset_cluster,feasible_set_const,feasible_set_bytesonly,feasible_set_fconly
1786260608.701,c2,recommend,,0.0,26.76,14.03,3.51,S3,0,,0,200.0,obs,672,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.51,S3,4.989,0,S3,site_s3,S3,S3,S3
1786260609.701,c1,reserve,,0.0,26.34,13.67,3.88,S3,0,,0,36.0,obs,334,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.88,S3,4.98,0,S3,site_s3,S3,S3,S3
1786260609.701,c1,search,,0.0,31.1,20.71,10.34,S3,0,,0,4474.0,obs,504,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.34,S3,4.98,0,S3,site_s3,S3,S3,S3
1786260609.701,c1,recommend,,0.0,26.76,14.03,3.65,S3,0,,0,200.0,obs,672,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.65,S3,4.98,0,S3,site_s3,S3,S3,S3
1786260609.701,c2,reserve,,0.0,26.34,13.67,3.88,S3,0,,0,36.0,obs,334,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.88,S3,4.98,0,S3,site_s3,S3,S3,S3
1786260609.701,c2,search,,0.0,31.1,20.71,10.34,S3,0,,0,4474.0,obs,504,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.34,S3,4.98,0,S3,site_s3,S3,S3,S3
1786260609.701,c2,recommend,,0.0,26.76,14.03,3.65,S3,0,,0,200.0,obs,672,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.65,S3,4.98,0,S3,site_s3,S3,S3,S3
1786260610.700,c1,reserve,,0.0,26.34,13.67,3.94,S3,0,,0,36.0,obs,338,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.94,S3,5.029,0,S3,site_s3,S3,S3,S3
1786260610.700,c1,search,,0.0,31.1,20.71,10.55,S3,0,,0,4474.0,obs,506,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.55,S3,5.029,0,S3,site_s3,S3,S3,S3
1786260610.700,c1,recommend,,0.0,26.76,14.03,3.73,S3,0,,0,200.0,obs,668,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.73,S3,5.029,0,S3,site_s3,S3,S3,S3
1786260610.700,c2,reserve,,0.0,26.34,13.67,3.94,S3,0,,0,36.0,obs,338,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.94,S3,5.029,0,S3,site_s3,S3,S3,S3
1786260610.700,c2,search,,0.0,31.1,20.71,10.55,S3,0,,0,4474.0,obs,506,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.55,S3,5.029,0,S3,site_s3,S3,S3,S3
1786260610.700,c2,recommend,,0.0,26.76,14.03,3.73,S3,0,,0,200.0,obs,668,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.73,S3,5.029,0,S3,site_s3,S3,S3,S3
1786260611.700,c1,reserve,,0.0,26.34,13.67,3.94,S3,0,,0,36.0,obs,338,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.94,S3,5.018,0,S3,site_s3,S3,S3,S3
1786260611.700,c1,search,,0.0,31.1,20.71,10.57,S3,0,,0,4474.0,obs,502,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.57,S3,5.018,0,S3,site_s3,S3,S3,S3
1786260611.700,c1,recommend,,0.0,26.76,14.03,3.62,S3,0,,0,200.0,obs,674,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.62,S3,5.018,0,S3,site_s3,S3,S3,S3
1786260611.700,c2,reserve,,0.0,26.34,13.67,3.94,S3,0,,0,36.0,obs,338,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.94,S3,5.018,0,S3,site_s3,S3,S3,S3
1786260611.700,c2,search,,0.0,31.1,20.71,10.57,S3,0,,0,4474.0,obs,502,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.57,S3,5.018,0,S3,site_s3,S3,S3,S3
1786260611.700,c2,recommend,,0.0,26.76,14.03,3.62,S3,0,,0,200.0,obs,674,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.62,S3,5.018,0,S3,site_s3,S3,S3,S3
1786260612.700,c1,reserve,,0.0,26.34,13.67,3.92,S3,0,,0,36.0,obs,336,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.92,S3,5.044,0,S3,site_s3,S3,S3,S3
1786260612.700,c1,search,,0.0,31.1,20.71,10.55,S3,0,,0,4474.0,obs,504,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.55,S3,5.044,0,S3,site_s3,S3,S3,S3
1786260612.700,c1,recommend,,0.0,26.76,14.03,3.59,S3,0,,0,200.0,obs,674,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.59,S3,5.044,0,S3,site_s3,S3,S3,S3
1786260612.700,c2,reserve,,0.0,26.34,13.67,3.92,S3,0,,0,36.0,obs,336,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.92,S3,5.044,0,S3,site_s3,S3,S3,S3
1786260612.700,c2,search,,0.0,31.1,20.71,10.55,S3,0,,0,4474.0,obs,504,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.55,S3,5.044,0,S3,site_s3,S3,S3,S3
1786260612.700,c2,recommend,,0.0,26.76,14.03,3.59,S3,0,,0,200.0,obs,674,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.59,S3,5.044,0,S3,site_s3,S3,S3,S3
1786260613.701,c1,reserve,,0.0,26.34,13.67,3.89,S3,0,,0,36.0,obs,334,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.89,S3,5.29,0,S3,site_s3,S3,S3,S3
1786260613.701,c1,search,,0.0,31.1,20.71,10.54,S3,0,,0,4474.0,obs,504,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.54,S3,5.29,0,S3,site_s3,S3,S3,S3
1786260613.701,c1,recommend,,0.0,26.76,14.03,3.68,S3,0,,0,200.0,obs,677,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.68,S3,5.29,0,S3,site_s3,S3,S3,S3
1786260613.701,c2,reserve,,0.0,26.34,13.67,3.89,S3,0,,0,36.0,obs,334,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.89,S3,5.29,0,S3,site_s3,S3,S3,S3
1786260613.701,c2,search,,0.0,31.1,20.71,10.54,S3,0,,0,4474.0,obs,504,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.54,S3,5.29,0,S3,site_s3,S3,S3,S3
1786260613.701,c2,recommend,,0.0,26.76,14.03,3.68,S3,0,,0,200.0,obs,677,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.68,S3,5.29,0,S3,site_s3,S3,S3,S3
1786260614.700,c1,reserve,,0.0,26.34,13.67,3.95,S3,0,,0,36.0,obs,336,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.95,S3,5.141,0,S3,site_s3,S3,S3,S3
1786260614.700,c1,search,,0.0,31.1,20.71,10.54,S3,0,,0,4474.0,obs,506,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.54,S3,5.141,0,S3,site_s3,S3,S3,S3
1786260614.700,c1,recommend,,0.0,26.76,14.03,3.68,S3,0,,0,200.0,obs,672,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.68,S3,5.141,0,S3,site_s3,S3,S3,S3
1786260614.700,c2,reserve,,0.0,26.34,13.67,3.95,S3,0,,0,36.0,obs,336,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.95,S3,5.141,0,S3,site_s3,S3,S3,S3
1786260614.700,c2,search,,0.0,31.1,20.71,10.54,S3,0,,0,4474.0,obs,506,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.54,S3,5.141,0,S3,site_s3,S3,S3,S3
1786260614.700,c2,recommend,,0.0,26.76,14.03,3.68,S3,0,,0,200.0,obs,672,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.68,S3,5.141,0,S3,site_s3,S3,S3,S3
1786260615.701,c1,reserve,,0.0,26.34,13.67,3.92,S3,0,,0,36.0,obs,342,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.92,S3,5.588,0,S3,site_s3,S3,S3,S3
1786260615.701,c1,search,,0.0,31.1,20.71,10.51,S3,0,,0,4474.0,obs,502,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.51,S3,5.588,0,S3,site_s3,S3,S3,S3
1786260615.701,c1,recommend,,0.0,26.76,14.03,3.66,S3,0,,0,200.0,obs,670,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.66,S3,5.588,0,S3,site_s3,S3,S3,S3
1786260615.701,c2,reserve,,0.0,26.34,13.67,3.92,S3,0,,0,36.0,obs,342,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.92,S3,5.588,0,S3,site_s3,S3,S3,S3
1786260615.701,c2,search,,0.0,31.1,20.71,10.51,S3,0,,0,4474.0,obs,502,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.51,S3,5.588,0,S3,site_s3,S3,S3,S3
1786260615.701,c2,recommend,,0.0,26.76,14.03,3.66,S3,0,,0,200.0,obs,670,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.66,S3,5.588,0,S3,site_s3,S3,S3,S3
1786260616.701,c1,reserve,,0.0,26.34,13.67,3.85,S3,0,,0,36.0,obs,337,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.85,S3,5.181,0,S3,site_s3,S3,S3,S3
1786260616.701,c1,search,,0.0,31.1,20.71,10.42,S3,0,,0,4474.0,obs,502,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.42,S3,5.181,0,S3,site_s3,S3,S3,S3
1786260616.701,c1,recommend,,0.0,26.76,14.03,3.67,S3,0,,0,200.0,obs,676,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.67,S3,5.181,0,S3,site_s3,S3,S3,S3
1786260616.701,c2,reserve,,0.0,26.34,13.67,3.85,S3,0,,0,36.0,obs,337,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.85,S3,5.181,0,S3,site_s3,S3,S3,S3
1786260616.701,c2,search,,0.0,31.1,20.71,10.42,S3,0,,0,4474.0,obs,502,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.42,S3,5.181,0,S3,site_s3,S3,S3,S3
1786260616.701,c2,recommend,,0.0,26.76,14.03,3.67,S3,0,,0,200.0,obs,676,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.67,S3,5.181,0,S3,site_s3,S3,S3,S3
1786260617.700,c1,reserve,,0.0,26.34,13.67,3.74,S3,0,,0,36.0,obs,336,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.74,S3,5.131,0,S3,site_s3,S3,S3,S3
1786260617.700,c1,search,,0.0,31.1,20.71,10.21,S3,0,,0,4474.0,obs,504,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.21,S3,5.131,0,S3,site_s3,S3,S3,S3
1786260617.700,c1,recommend,,0.0,26.76,14.03,3.65,S3,0,,0,200.0,obs,676,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.65,S3,5.131,0,S3,site_s3,S3,S3,S3
