ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes,feasible_set,subset_cluster,feasible_set_const,feasible_set_bytesonly,feasible_set_fconly,unit_rate_rps,l_eff_s1,l_eff_s2,l_eff_s3,cap_ok_s1,cap_ok_s2,cap_ok_s3,blocked_by,cap_blocked_sites,soft_applied,carry_s1,carry_s2,carry_s3,soft_overflow_eq,soft_objective_eq,soft_weights
1786367164.207,c2,reserve,,0.0,26.34,13.67,3.64,S3,0,,0,36.0,obs,347,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.64,S3,7.685,0,S3,site_s3,S3,S3,S3,87.0,0.0,0.0,209.4,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367164.207,c2,search,,0.0,31.1,20.71,10.91,S3,0,,0,4474.0,obs,521,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.91,S3,7.685,0,S3,site_s3,S3,S3,S3,130.0,0.0,0.0,339.4,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367164.207,c2,recommend,,0.0,26.76,14.03,3.99,S3,0,,0,200.0,obs,690,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.99,S3,7.685,0,S3,site_s3,S3,S3,S3,172.5,0.0,0.0,370.1,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367165.207,c1,reserve,,0.0,26.34,13.67,3.66,S3,0,,0,36.0,obs,350,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.66,S3,7.639,0,S3,site_s3,S3,S3,S3,87.5,0.0,0.0,24.3,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367165.207,c1,search,,0.0,31.1,20.71,10.99,S3,0,,0,4474.0,obs,517,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.99,S3,7.639,0,S3,site_s3,S3,S3,S3,129.0,0.0,0.0,153.3,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367165.207,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,obs,692,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,7.639,0,S3,site_s3,S3,S3,S3,173.0,0.0,0.0,184.1,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367165.207,c2,reserve,,0.0,26.34,13.67,3.66,S3,0,,0,36.0,obs,350,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.66,S3,7.639,0,S3,site_s3,S3,S3,S3,87.5,0.0,0.0,208.4,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367165.207,c2,search,,0.0,31.1,20.71,10.99,S3,0,,0,4474.0,obs,517,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.99,S3,7.639,0,S3,site_s3,S3,S3,S3,129.5,0.0,0.0,337.9,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367165.207,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,obs,692,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,7.639,0,S3,site_s3,S3,S3,S3,173.0,0.0,0.0,368.7,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367166.207,c1,reserve,,0.0,26.34,13.67,3.67,S3,0,,0,36.0,obs,346,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.67,S3,7.689,0,S3,site_s3,S3,S3,S3,86.5,0.0,0.0,24.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
