run,t_rel_s,S1_inflow_rps
E1_sorts_far,108,133
E1_sorts_far,109,132
E1_sorts_far,110,134
E1_sorts_far,111,223
E1_sorts_far,112,264
E1_sorts_far,113,260
E1_sorts_far,114,267
E1_sorts_far,115,265
E1_sorts_far,116,265
E1_sorts_far,117,263
E1_sorts_far,118,254
E1_sorts_far,119,266
E1_sorts_far,120,270
E1_sorts_far,121,261
E1_sorts_far,122,264
E1_sorts_far,123,258
E1_sorts_far,124,272
E1_sorts_far,125,259
E1_sorts_far,126,267
E1_sorts_far,127,263
E1_sorts_far,128,247
E1_sorts_far,129,267
E1_sorts_far,130,265
E1_sorts_far,131,260
E1_sorts_far,132,266
E1_sorts_far,133,264
E1_sorts_far,134,269
E1_sorts_far,135,260
E1_sorts_far,136,262
E1_sorts_far,137,264
E1_sorts_far,138,252
E1_sorts_far,139,268
E1_sorts_far,140,260
E1_sorts_far,141,265
E1_sorts_far,142,266
E1_sorts_far,143,264
E1_sorts_far,144,265
E1_sorts_far,145,258
E1_sorts_far,146,266
E1_sorts_far,147,265
E1_sorts_far,148,258
E1_sorts_far,149,255
E1_sorts_far,150,264
E1_sorts_far,151,263
E1_sorts_far,152,269
E1_sorts_far,153,266
E1_sorts_far,154,265
E1_sorts_far,155,261
E1_sorts_far,156,269
E1_sorts_far,157,264
E1_sorts_far,158,247
E1_sorts_far,159,271
E1_sorts_far,160,261
E1_sorts_far,161,267
E1_sorts_far,162,259
E1_sorts_far,163,265
E1_sorts_far,164,267
E1_sorts_far,165,264
E1_sorts_far,166,265
E1_sorts_far,167,251
E1_sorts_far,168,267
E1_sorts_far,169,266
E1_sorts_far,170,86
E1_sorts_far,171,0
E1_sorts_far,172,0
E1_sorts_far,173,0
E1_sorts_far,174,0
E1_sorts_far,175,0
E1_sorts_far,176,0
E1_sorts_far,177,0
E1_sorts_far,178,0
E1_sorts_far,179,0
E1_sorts_far,180,0
E1_sorts_far,181,0
E1_sorts_far,182,0
E1_sorts_far,183,0
E1_sorts_far,184,0
E1_sorts_far,185,0
E1_sorts_far,186,0
E1_sorts_far,187,0
E1_sorts_far,188,0
E1_sorts_far,189,0
E1_sorts_far,190,0
E1_sorts_far,191,0
E1_sorts_far,192,0
E1_sorts_far,193,0
E1_sorts_far,194,0
E1_sorts_far,195,0
E1_sorts_far,196,0
E1_sorts_far,197,0
E1_sorts_far,198,0
E1_sorts_far,199,0
E1_sorts_far,200,0
E1_sorts_far,201,0
E1_sorts_far,202,0
E1_sorts_far,203,0
E1_sorts_far,204,0
E1_sorts_far,205,0
E1_sorts_far,206,0
E1_sorts_far,207,0
E1_sorts_far,208,0
E1_sorts_far,209,0
E1_sorts_far,210,0
E1_sorts_far,211,0
E1_sorts_far,212,0
E1_sorts_far,213,0
E1_sorts_far,214,0
E1_sorts_far,215,0
E1_sorts_far,216,0
E1_sorts_far,217,0
E1_sorts_far,218,0
E1_sorts_far,219,0
E1_sorts_far,220,0
E1_sorts_far,221,0
E1_sorts_far,222,0
E1_sorts_far,223,0
E1_sorts_far,224,0
E1_sorts_far,225,0
E1_sorts_far,226,0
E1_sorts_far,227,0
E1_sorts_far,228,0
E1_sorts_far,229,0
E1_sorts_far,230,0
E1_sorts_far,231,0
E1_sorts_far,232,0
E1_sorts_far,233,0
E1_sorts_far,234,0
E1_sorts_far,235,0
E1_sorts_far,236,0
E1_sorts_far,237,0
E1_sorts_far,238,0
E1_sorts_far,239,0
E2_sorts_near,-40,76
E2_sorts_near,-39,634
E2_sorts_near,-38,644
E2_sorts_near,-37,597
E2_sorts_near,-36,632
E2_sorts_near,-35,577
E2_sorts_near,-34,626
E2_sorts_near,-33,622
E2_sorts_near,-32,622
E2_sorts_near,-31,611
E2_sorts_near,-30,604
E2_sorts_near,-29,606
E2_sorts_near,-28,622
E2_sorts_near,-27,609
E2_sorts_near,-26,606
E2_sorts_near,-25,588
E2_sorts_near,-24,607
E2_sorts_near,-23,623
E2_sorts_near,-22,610
E2_sorts_near,-21,605
E2_sorts_near,-20,627
E2_sorts_near,-19,614
E2_sorts_near,-18,618
E2_sorts_near,-17,620
E2_sorts_near,-16,611
E2_sorts_near,-15,596
E2_sorts_near,-14,618
E2_sorts_near,-13,620
E2_sorts_near,-12,609
E2_sorts_near,-11,622
E2_sorts_near,-10,627
E2_sorts_near,-9,616
E2_sorts_near,-8,608
E2_sorts_near,-7,600
E2_sorts_near,-6,632
E2_sorts_near,-5,585
E2_sorts_near,-4,617
E2_sorts_near,-3,608
E2_sorts_near,-2,624
E2_sorts_near,-1,606
E2_sorts_near,0,1228
E2_sorts_near,1,625
E2_sorts_near,2,615
E2_sorts_near,3,612
E2_sorts_near,4,606
E2_sorts_near,5,593
E2_sorts_near,6,615
E2_sorts_near,7,617
E2_sorts_near,8,611
E2_sorts_near,9,624
E2_sorts_near,10,607
E2_sorts_near,11,616
E2_sorts_near,12,592
E2_sorts_near,13,635
E2_sorts_near,14,598
E2_sorts_near,15,605
E2_sorts_near,16,623
E2_sorts_near,17,609
E2_sorts_near,18,627
E2_sorts_near,19,602
E2_sorts_near,20,601
E2_sorts_near,21,605
E2_sorts_near,22,605
E2_sorts_near,23,589
E2_sorts_near,24,597
E2_sorts_near,25,603
E2_sorts_near,26,594
E2_sorts_near,27,612
E2_sorts_near,28,589
E2_sorts_near,29,612
E2_sorts_near,30,619
E2_sorts_near,31,591
E2_sorts_near,32,598
E2_sorts_near,33,596
E2_sorts_near,34,584
E2_sorts_near,35,606
E2_sorts_near,36,594
E2_sorts_near,37,603
E2_sorts_near,38,594
E2_sorts_near,39,605
E2_sorts_near,40,610
E2_sorts_near,41,595
E2_sorts_near,42,615
E2_sorts_near,43,626
E2_sorts_near,44,565
E2_sorts_near,45,626
E2_sorts_near,46,607
E2_sorts_near,47,597
E2_sorts_near,48,610
E2_sorts_near,49,596
E2_sorts_near,50,595
E2_sorts_near,51,604
E2_sorts_near,52,599
E2_sorts_near,53,612
E2_sorts_near,54,588
E2_sorts_near,55,601
