run_id,policy,disturb,section,cohort,endpoint,n,n_viol,viol_rate,corrected_p50,corrected_p95,corrected_p99
B_ramp_bl_rr,bl_rr,ramp,during,2,reserve,20876,90,0.004311,11.981,26.389,27.37
B_ramp_bl_rr,bl_rr,ramp,during,2,search,31318,1418,0.045277,20.563,43.496,65.801
B_ramp_bl_rr,bl_rr,ramp,during,2,recommend,41761,626,0.01499,11.167,26.117,40.481
B_ramp_bl_rr,bl_rr,ramp,post,1,reserve,5088,32,0.006289,12.374,26.359,29.004
B_ramp_bl_rr,bl_rr,ramp,post,1,search,7633,589,0.077165,23.552,50.923,70.629
B_ramp_bl_rr,bl_rr,ramp,post,1,recommend,10177,215,0.021126,11.409,26.352,45.774
B_ramp_bl_rr,bl_rr,ramp,post,2,reserve,5090,25,0.004912,15.21,26.385,28.74
B_ramp_bl_rr,bl_rr,ramp,post,2,search,7633,600,0.078606,22.808,52.267,74.724
B_ramp_bl_rr,bl_rr,ramp,post,2,recommend,10178,256,0.025152,11.509,26.468,47.827
B_ramp_bl_lr,bl_lr,ramp,pre,1,reserve,5165,3,0.000581,11.579,26.468,26.794
B_ramp_bl_lr,bl_lr,ramp,pre,1,search,7746,296,0.038213,24.094,42.412,57.611
B_ramp_bl_lr,bl_lr,ramp,pre,1,recommend,10329,77,0.007455,11.366,26.29,32.017
B_ramp_bl_lr,bl_lr,ramp,pre,2,reserve,5167,9,0.001742,11.517,26.407,26.672
B_ramp_bl_lr,bl_lr,ramp,pre,2,search,7744,250,0.032283,21.87,41.211,54.582
B_ramp_bl_lr,bl_lr,ramp,pre,2,recommend,10328,59,0.005713,11.143,26.12,30.218
B_ramp_bl_lr,bl_lr,ramp,during,1,reserve,20879,604,0.028929,12.722,28.055,46.909
B_ramp_bl_lr,bl_lr,ramp,during,1,search,31319,10986,0.350777,41.089,65.425,78.82
B_ramp_bl_lr,bl_lr,ramp,during,1,recommend,41757,4620,0.11064,14.668,43.561,59.909
B_ramp_bl_lr,bl_lr,ramp,during,2,reserve,20878,31,0.001485,11.483,26.398,26.676
B_ramp_bl_lr,bl_lr,ramp,during,2,search,31320,973,0.031066,21.429,40.676,55.637
B_ramp_bl_lr,bl_lr,ramp,during,2,recommend,41761,249,0.005963,11.107,26.095,29.986
B_ramp_bl_lr,bl_lr,ramp,post,1,reserve,5095,3,0.000589,11.476,26.367,26.606
B_ramp_bl_lr,bl_lr,ramp,post,1,search,7644,204,0.026688,21.589,38.814,54.653
B_ramp_bl_lr,bl_lr,ramp,post,1,recommend,10192,58,0.005691,11.165,26.08,29.354
B_ramp_bl_lr,bl_lr,ramp,post,2,reserve,5095,5,0.000981,11.489,26.392,26.673
B_ramp_bl_lr,bl_lr,ramp,post,2,search,7646,215,0.028119,21.36,39.927,54.511
B_ramp_bl_lr,bl_lr,ramp,post,2,recommend,10193,50,0.004905,11.158,26.103,27.749
B_ramp_bl_loc,bl_loc,ramp,pre,1,reserve,4077,4077,1.0,17435.529,24901.425,26188.949
B_ramp_bl_loc,bl_loc,ramp,pre,1,search,6114,6114,1.0,17507.323,24963.338,26235.165
B_ramp_bl_loc,bl_loc,ramp,pre,1,recommend,8153,8153,1.0,17484.733,24928.664,26215.62
B_ramp_bl_loc,bl_loc,ramp,pre,2,reserve,4145,4145,1.0,18527.494,25597.449,27445.596
B_ramp_bl_loc,bl_loc,ramp,pre,2,search,6211,6211,1.0,18609.829,25701.944,27539.742
B_ramp_bl_loc,bl_loc,ramp,pre,2,recommend,8282,8282,1.0,18578.064,25648.339,27502.307
B_ramp_bl_loc,bl_loc,ramp,during,1,reserve,15337,15337,1.0,50722.053,84246.477,89593.877
B_ramp_bl_loc,bl_loc,ramp,during,1,search,23003,23003,1.0,50780.452,84290.062,89628.53
B_ramp_bl_loc,bl_loc,ramp,during,1,recommend,30671,30671,1.0,50750.42,84275.017,89610.458
B_ramp_bl_loc,bl_loc,ramp,during,2,reserve,17679,17679,1.0,47346.114,61336.223,65220.422
B_ramp_bl_loc,bl_loc,ramp,during,2,search,26520,26520,1.0,47409.159,61402.886,65286.642
B_ramp_bl_loc,bl_loc,ramp,during,2,recommend,35359,35359,1.0,47376.268,61363.956,65259.997
B_ramp_bl_loc,bl_loc,ramp,post,1,reserve,4039,4039,1.0,94894.694,102512.051,103774.567
B_ramp_bl_loc,bl_loc,ramp,post,1,search,6060,6060,1.0,94947.297,102550.745,103793.064
B_ramp_bl_loc,bl_loc,ramp,post,1,recommend,8079,8079,1.0,94926.903,102533.042,103764.126
B_ramp_bl_loc,bl_loc,ramp,post,2,reserve,4070,4070,1.0,67819.262,76580.175,77760.818
B_ramp_bl_loc,bl_loc,ramp,post,2,search,6101,6101,1.0,67887.81,76664.145,77826.41
B_ramp_bl_loc,bl_loc,ramp,post,2,recommend,8136,8136,1.0,67851.192,76624.204,77795.637
