ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes,feasible_set,subset_cluster,feasible_set_const,feasible_set_bytesonly,feasible_set_fconly
1786258530.861,c2,recommend,,0.0,22.94,13.53,4.22,,0,,0,200.0,obs,691,26.76,14.03,4.0,,26.76,14.03,4.0,,22.94,13.53,4.22,,5.4,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258531.861,c1,reserve,6000,0.053,22.18,13.62,3.6,,0,,0,36.0,obs,341,26.29,13.62,3.6,,26.29,13.62,3.6,,22.18,13.62,3.6,,5.382,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258531.861,c1,search,6000,6.562,14.62,13.09,4.42,,0,,0,4474.0,obs,518,24.54,14.15,4.42,,24.54,14.15,4.42,,14.62,13.09,4.42,,5.382,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258531.861,c1,recommend,6000,0.293,22.78,12.98,4.01,,0,,0,200.0,obs,696,26.47,13.73,3.71,,26.47,13.73,3.71,,22.78,12.98,4.01,,5.382,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258531.861,c2,reserve,,0.0,22.23,13.68,3.65,,0,,0,36.0,obs,341,26.34,13.67,3.65,,26.34,13.67,3.65,,22.23,13.68,3.65,,5.382,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258531.861,c2,search,,0.0,21.19,19.65,10.98,,0,,0,4474.0,obs,518,31.1,20.71,10.98,,31.1,20.71,10.98,,21.19,19.65,10.98,,5.382,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258531.861,c2,recommend,,0.0,23.07,13.27,4.3,,0,,0,200.0,obs,696,26.76,14.03,4.0,,26.76,14.03,4.0,,23.07,13.27,4.3,,5.382,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258532.861,c1,reserve,6000,0.053,22.19,13.62,3.6,,0,,0,36.0,obs,344,26.29,13.62,3.6,,26.29,13.62,3.6,,22.19,13.62,3.6,,5.413,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258532.861,c1,search,6000,6.562,16.32,13.07,4.9,,0,,0,4474.0,obs,521,24.54,14.15,4.42,,24.54,14.15,4.42,,16.32,13.07,4.9,,5.413,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258532.861,c1,recommend,6000,0.293,22.62,12.9,4.01,,0,,0,200.0,obs,691,26.47,13.73,3.71,,26.47,13.73,3.71,,22.62,12.9,4.01,,5.413,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258532.861,c2,reserve,,0.0,22.24,13.68,3.65,,0,,0,36.0,obs,344,26.34,13.67,3.65,,26.34,13.67,3.65,,22.24,13.68,3.65,,5.413,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258532.861,c2,search,,0.0,22.88,19.63,11.46,,0,,0,4474.0,obs,521,31.1,20.71,10.98,,31.1,20.71,10.98,,22.88,19.63,11.46,,5.413,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258532.861,c2,recommend,,0.0,22.91,13.2,4.3,,0,,0,200.0,obs,691,26.76,14.03,4.0,,26.76,14.03,4.0,,22.91,13.2,4.3,,5.413,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258533.861,c1,reserve,6000,0.053,22.93,13.35,3.6,,0,,0,36.0,obs,348,26.29,13.62,3.6,,26.29,13.62,3.6,,22.93,13.35,3.6,,5.385,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258533.861,c1,search,6000,6.562,16.47,12.89,4.93,,0,,0,4474.0,obs,518,24.54,14.15,4.42,,24.54,14.15,4.42,,16.47,12.89,4.93,,5.385,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258533.861,c1,recommend,6000,0.293,23.72,12.9,3.99,,0,,0,200.0,obs,690,26.47,13.73,3.71,,26.47,13.73,3.71,,23.72,12.9,3.99,,5.385,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258533.861,c2,reserve,,0.0,22.98,13.4,3.65,,0,,0,36.0,obs,348,26.34,13.67,3.65,,26.34,13.67,3.65,,22.98,13.4,3.65,,5.385,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258533.861,c2,search,,0.0,23.03,19.45,11.5,,0,,0,4474.0,obs,518,31.1,20.71,10.98,,31.1,20.71,10.98,,23.03,19.45,11.5,,5.385,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258533.861,c2,recommend,,0.0,24.02,13.2,4.28,,0,,0,200.0,obs,690,26.76,14.03,4.0,,26.76,14.03,4.0,,24.02,13.2,4.28,,5.385,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258534.861,c1,reserve,6000,0.053,22.29,13.62,3.6,,0,,0,36.0,obs,348,26.29,13.62,3.6,,26.29,13.62,3.6,,22.29,13.62,3.6,,5.358,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258534.861,c1,search,6000,6.562,16.13,12.62,4.42,,0,,0,4474.0,obs,512,24.54,14.15,4.42,,24.54,14.15,4.42,,16.13,12.62,4.42,,5.358,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258534.861,c1,recommend,6000,0.293,23.68,12.92,4.1,,0,,0,200.0,obs,693,26.47,13.73,3.71,,26.47,13.73,3.71,,23.68,12.92,4.1,,5.358,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258534.861,c2,reserve,,0.0,22.34,13.67,3.65,,0,,0,36.0,obs,348,26.34,13.67,3.65,,26.34,13.67,3.65,,22.34,13.67,3.65,,5.358,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258534.861,c2,search,,0.0,22.69,19.18,10.98,,0,,0,4474.0,obs,512,31.1,20.71,10.98,,31.1,20.71,10.98,,22.69,19.18,10.98,,5.358,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258534.861,c2,recommend,,0.0,23.97,13.21,4.39,,0,,0,200.0,obs,693,26.76,14.03,4.0,,26.76,14.03,4.0,,23.97,13.21,4.39,,5.358,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258535.861,c1,reserve,6000,0.053,22.02,13.62,3.6,,0,,0,36.0,obs,346,26.29,13.62,3.6,,26.29,13.62,3.6,,22.02,13.62,3.6,,5.384,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258535.861,c1,search,6000,6.562,14.96,12.38,4.81,,0,,0,4474.0,obs,518,24.54,14.15,4.42,,24.54,14.15,4.42,,14.96,12.38,4.81,,5.384,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258535.861,c1,recommend,6000,0.293,23.45,13.25,3.88,,0,,0,200.0,obs,692,26.47,13.73,3.71,,26.47,13.73,3.71,,23.45,13.25,3.88,,5.384,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258535.861,c2,reserve,,0.0,22.08,13.67,3.65,,0,,0,36.0,obs,346,26.34,13.67,3.65,,26.34,13.67,3.65,,22.08,13.67,3.65,,5.384,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
