t_rel_s,rate_mbit
226.336,1.6
227.336,1.6
228.336,1.6
229.336,1.6
230.336,1.6
231.336,1.6
232.336,1.6
233.336,1.6
234.336,1.6
235.336,1.6
236.336,1.6
237.336,1.6
238.336,1.6
239.336,1.6
240.336,1.6
241.336,1.6
242.336,1.6
243.336,1.6
244.336,1.6
245.336,1.6
246.336,1.6
247.336,1.6
248.336,1.6
249.336,1.6
250.336,1.6
251.336,1.6
252.336,1.6
253.336,1.6
254.336,1.6
255.336,1.6
256.336,1.6
257.336,1.6
258.336,1.6
259.336,1.6
260.336,1.6
261.336,1.6
262.336,1.6
263.336,1.6
264.336,1.6
265.336,1.6
266.336,1.6
267.336,1.6
268.336,1.6
269.336,1.6
270.336,1.6
271.336,1.6
272.336,1.6
273.336,1.6
274.336,1.6
275.336,1.6
276.336,1.6
277.336,1.6
278.336,1.6
279.336,1.6
280.336,1.6
281.336,1.6
282.336,1.6
283.336,1.6
284.336,1.6
285.336,1.6
286.336,1.6
287.336,1.6
288.336,1.6
289.336,1.6
290.336,1.6
291.336,1.6
292.336,1.6
293.336,1.6
294.336,1.6
295.336,1.6
296.336,1.6
297.336,1.6
298.336,1.6
299.336,1.6
300.335,
301.335,
302.335,
303.335,
304.335,
305.335,
306.335,
307.334,
308.335,
309.335,
310.335,
311.335,
312.335,
313.335,
314.335,
315.335,
316.335,
317.335,
318.335,
319.335,
320.335,
321.335,
322.335,
323.335,
324.335,
325.335,
326.335,
327.335,
328.335,
329.335,
330.335,
331.335,
332.335,
333.335,
334.335,
335.335,
336.335,
337.335,
338.335,
339.335,
340.335,
341.335,
342.335,
343.335,
344.335,
345.335,
346.335,
347.335,
348.335,
349.335,
350.335,
351.335,
352.335,
353.335,
354.335,
355.335,
356.335,
357.335,
358.335,
359.335,
360.335,
361.335,
